state,year,fuel_consumption_ml,vkt_road_million_km,ghg_kt_co2e,registered_vehicles,population,emissions_per_capita_kg,vkt_per_capita_km,vehicles_per_capita
NT,2015,768.7,2157.4652962762107,1310.1308542793274,170993,244741.25,5353.126431606145,8815.290827664772,0.6986684917234017
NT,2016,785.8,2181.5706223686093,1321.213690659549,170993,246537.75,5359.072558500875,8848.829935247682,0.6935773527583504
NT,2017,873.1,2220.8646126005015,1411.034797330253,170993,247036.25,5711.853209115072,8990.035319110057,0.6921777674329173
NT,2018,939.8,2210.02489040042,1862.1938677645949,170993,246375.25,7558.364193499935,8970.157880714156,0.6940348107206386
NT,2019,807.3,2122.030877050706,1543.6672651247445,170993,246821.75,6254.178430890894,8597.422540966127,0.6927793032826322
NT,2020,811.8,2200.5385361356716,1672.396174577787,170993,247977.5,6744.144829985732,8873.944354369536,0.6895504632476737
NT,2021,824.2,2164.1898315148387,1773.1205948318482,170993,251293.0,7055.98880522676,8612.21694004544,0.6804526986426204
NT,2022,827.4,2157.3991177084517,1773.2299539242185,170993,255918.0,6928.898920451936,8430.040550912603,0.6681554247845013
NT,2023,876.0,2178.859525562556,1908.8766616561002,170993,259634.25,7352.175846045351,8392.034277305693,0.6585918460295589
QLD,2010,10155.2,49169.55285356289,20188.381237443205,4892495,4448275.25,4538.47392592066,11053.621929884597,1.0998633683920527
QLD,2011,10955.1,49988.05640547143,20967.405492608486,4892495,4532763.25,4625.744680710709,11028.163980431016,1.0793625720469737
QLD,2012,11363.0,51279.547762800925,21082.93362993646,4892495,4622664.5,4560.775204416514,11093.071487840169,1.058371205610963
QLD,2013,11128.6,52076.14323006136,20928.80063676197,4892495,4695265.75,4457.426214216303,11091.202501170752,1.0420059823024928
QLD,2014,11013.2,52910.3742631863,21114.46146171824,4892495,4756001.75,4439.540305408475,11124.969468984384,1.0286991589101075
QLD,2015,10734.2,53699.26105473712,22158.863284959345,4892495,4817035.75,4600.103556416277,11147.781299886994,1.015665079919741
QLD,2016,10883.2,54263.51571775697,22255.27426778417,4892495,4895248.0,4546.3016925361435,11084.937007840455,0.9994376178694113
QLD,2017,11359.0,54844.24004282263,23598.45834568078,4892495,4974668.0,4743.72527888912,11024.70356671493,0.9834817117443817
QLD,2018,11353.7,54665.08702317953,23369.527450207752,4892495,5058282.5,4620.051855586902,10807.045083618705,0.9672245470671123
QLD,2019,11017.199999999999,52448.58664374579,22116.24482053549,4892495,5140049.75,4302.729719792204,10203.906420117002,0.9518380634350864
QLD,2020,11277.6,55329.460854947145,21832.28298396125,4892495,5193190.5,4204.021205068686,10654.232856458308,0.9420981186806069
QLD,2021,11195.6,54504.2153075388,22041.768692609272,4892495,5268521.25,4183.672732193929,10345.258701867966,0.9286277435058272
QLD,2022,11492.2,55996.781259098105,23015.786151997432,4892495,5396254.0,4265.141365102057,10376.972851740875,0.906646536653019
QLD,2023,11898.0,57402.88896320388,23845.501857268428,4892495,5530793.0,4311.407398047338,10378.780938502648,0.8845919563433309
SA,2010,2836.4,16136.073026721786,6426.477056725869,1632475,1634771.25,3931.117002899255,9870.538784384535,0.9985953692297929
SA,2011,2855.4,16139.985464637874,6259.409470012681,1632475,1650006.5,3793.5665526242965,9781.770838259044,0.9893748903413411
SA,2012,2862.9,16462.760149671827,6405.191494228686,1632475,1665706.0,3845.3313455247717,9883.352854388366,0.9800499007627996
SA,2013,3062.6,16839.83315694881,6305.93565013167,1632475,1680963.5,3751.3816630353185,10017.964790400749,0.9711543409479146
SA,2014,2965.7,17027.46590282871,6373.743094195834,1632475,1695585.25,3759.0224933814648,10042.235212195146,0.9627796656051355
SA,2015,2943.2,17148.702248242917,6446.675492981772,1632475,1708204.25,3773.9488664670935,10039.023289072671,0.9556673331072675
SA,2016,2928.7,17251.14510926876,6481.281904181313,1632475,1722695.25,3762.291620750282,10014.043464314864,0.9476284328293121
SA,2017,3046.6,17384.122737445276,6793.650535315988,1632475,1739275.25,3906.023808086724,9995.038299685615,0.9385949693701443
SA,2018,2965.0,17113.181444920556,6491.808959598056,1632475,1759462.0,3689.6556786097435,9726.371723242988,0.9278262332462992
SA,2019,2914.1,16296.158301472617,6311.820209482263,1632475,1782784.0,3540.4290197142573,9140.848415440467,0.9156886083788053
SA,2020,2924.6,16738.11319361812,6078.199447120741,1632475,1796969.75,3382.4717678863212,9314.63269964234,0.9084599226002552
SA,2021,2934.6,16164.232207865136,6258.624712985231,1632475,1813738.25,3450.6769171269507,8912.108573475327,0.9000609652467769
SA,2022,3053.4,16661.775061837434,6525.999842828278,1632475,1845544.5,3536.083710161569,9028.107998391497,0.8845492482029016
SA,2023,3035.3,16962.881001203346,6602.584883970695,1632475,1874379.0,3522.5452717783837,9049.867183319568,0.8709417892539343
TAS,2010,783.6,5261.901970214462,1916.2169089865358,549846,510607.75,3752.8159511612107,10305.174510599305,1.0768461700786955
TAS,2011,773.2,5287.283185916253,1760.8304636405446,549846,511834.0,3440.237388763827,10330.074176229506,1.0742662660159348
TAS,2012,760.3,5325.841697790082,1761.6243568231969,549846,511966.5,3440.8977087821113,10402.715212401752,1.073988239464887
TAS,2013,883.1,5366.975139251387,1713.9626729277106,549846,513206.75,3339.711866470405,10457.725155118063,1.0713927671450152
TAS,2014,888.4,5400.335949858086,1710.2528182552314,549846,514466.75,3324.3213837536273,10496.95816077149,1.068768778545941
TAS,2015,882.7,5403.5673619254685,1709.4884772390785,549846,516441.5,3310.1299512898913,10463.07735130788,1.064682059826718
TAS,2016,874.2,5412.260353237132,1654.7244646659685,549846,523230.75,3162.5137946612817,10343.926371370819,1.05086713653584
TAS,2017,862.0,5516.76398095719,1679.4246075906221,549846,533239.0,3149.4782031896057,10345.762371014105,1.0311436335301807
TAS,2018,925.6,5520.984495582726,1782.3398275655834,549846,544203.0,3275.137820933702,10145.082801055352,1.010369292341277
TAS,2019,900.0,5182.7905366551795,1660.5775501228188,549846,554210.0,2996.296620636255,9351.672717300624,0.992125728514462
TAS,2020,944.0,5310.199887964721,1786.8914876706624,549846,563346.75,3171.921179399122,9426.165834745156,0.9760347423678223
TAS,2021,920.0,5225.427536792139,1772.7868205566153,549846,570280.5,3108.6225472493193,9162.907616150542,0.9641676332962463
TAS,2022,886.4,5159.991489594724,1706.9347314902273,549846,573425.0,2976.7358093738976,8998.546435182847,0.9588804115621049
TAS,2023,881.8,5203.485019548471,1714.0673126412257,549846,574440.75,2983.8887868613533,9058.34939382081,0.9571848793805106
VIC,2010,8183.2,59748.97859280083,22181.939275552624,5686167,5508154.0,4027.109495404926,10847.368935727074,1.0323180869670674
VIC,2011,8559.7,60812.67543236085,21747.882952715252,5686167,5608231.25,3877.850606234408,10843.4678816714,1.0138966719676548
VIC,2012,8759.4,62148.6417994095,22024.808448920794,5686167,5726897.5,3845.853439653983,10852.061137711911,0.9928878594387275
VIC,2013,8843.7,63467.02145683102,22386.058450099765,5686167,5850378.0,3826.429411928557,10848.36252577714,0.9719315572429679
VIC,2014,9152.9,64476.025264059004,23021.85205298475,5686167,5975559.5,3852.6688677411294,10789.95619808639,0.9515706437196383
VIC,2015,9303.0,65235.95717371303,22510.257165137682,5686167,6115601.5,3680.7920145120124,10667.136695174308,0.9297804966527005
VIC,2016,9530.1,66328.33889231455,22850.22759206189,5686167,6255699.0,3652.7057315356587,10602.866105340834,0.9089578958322643
VIC,2017,9666.9,67356.27554185229,22584.70843341026,5686167,6378337.0,3540.8459028443085,10560.162553633068,0.8914811180406429
VIC,2018,9760.4,67709.7370033749,22523.672112602828,5686167,6497673.0,3466.4213038425955,10420.613195427793,0.8751082118167535
VIC,2019,9506.1,63811.636771035046,20868.32049481387,5686167,6597407.5,3163.1092205254668,9672.229094691369,0.8618790032296777
VIC,2020,9025.3,58721.73136875578,18871.902283988275,5686167,6565439.0,2874.4311361339696,8944.067771973174,0.8660756729291065
VIC,2021,9428.1,61175.52107790463,20480.82417795628,5686167,6576235.25,3114.3691488160007,9302.514090855346,0.8646538306244442
VIC,2022,9948.2,65490.36976357675,21837.052079017583,5686167,6728126.25,3245.636491886219,9733.819986445224,0.8451338141878655
VIC,2023,10058.1,66994.68164452784,22213.698159434574,5686167,6901557.25,3218.650132828294,9707.183352645208,0.8238962300863331
WA,2010,6879.7,25696.688120433482,11581.422317358629,2621123,2328874.5,4972.9696973188675,11033.95143037269,1.1254891579602078
WA,2011,7549.4,26328.925722671152,12218.833926736994,2621123,2397293.5,5096.9286517220335,10982.771080249937,1.0933675830681557
WA,2012,8114.9,26958.279569099337,12682.047814673237,2621123,2465637.75,5143.516242267639,10933.592969648254,1.0630608652872873
WA,2013,8420.7,27578.37882201274,12964.702356177206,2621123,2507159.25,5171.072542032264,10999.85125476682,1.0454553295727027
WA,2014,8189.5,28000.967754639176,13180.895455606671,2621123,2532484.25,5204.729488685535,11056.719406898257,1.0350007112581252
WA,2015,8264.3,28362.62875802527,14012.918924385593,2621123,2550934.5,5493.249209019516,11118.524900590457,1.0275148185890308
WA,2016,8456.6,28405.714790700527,14493.948697878423,2621123,2574773.5,5629.213093065631,11032.315965152091,1.0180013892484134
WA,2017,8472.1,28469.840641313946,14692.75210872217,2621123,2605544.5,5639.033264917245,10926.637653401793,1.0059789805931159
WA,2018,8457.9,28367.820417687763,14648.478052803179,2621123,2643447.75,5541.429011715166,10731.371716232245,0.9915546845970381
WA,2019,8627.6,27384.092878163916,13924.384069005815,2621123,2695576.75,5165.6418497473005,10158.899344329157,0.9723792876607946
WA,2020,9069.4,28394.07702112461,14278.089286325006,2621123,2734164.5,5222.103237140635,10384.919057037208,0.9586559257864697
WA,2021,9398.7,28483.858952268456,14934.532587717085,2621123,2772794.5,5386.0942769891835,10272.618094225323,0.9453001295263677
WA,2022,9618.6,29617.271007725343,15480.083249073634,2621123,2853711.0,5424.544829197362,10378.511001192952,0.9184963018329466
WA,2023,9791.8,30497.25955706757,16042.015656542471,2621123,2948666.75,5440.430206818885,10342.72847451058,0.8889180169308722
