"vehicle_type","state_abb","year_of_manufacture","no_vehicles"
"Passenger vehicles","NSW","1989",3170
"Passenger vehicles","NSW","1990",4272
"Passenger vehicles","NSW","1991",4431
"Passenger vehicles","NSW","1992",5168
"Passenger vehicles","NSW","1993",6010
"Passenger vehicles","NSW","1994",8023
"Passenger vehicles","NSW","1995",9652
"Passenger vehicles","NSW","1996",11543
"Passenger vehicles","NSW","1997",16544
"Passenger vehicles","NSW","1998",23850
"Passenger vehicles","NSW","1999",29297
"Passenger vehicles","NSW","2000",38752
"Passenger vehicles","NSW","2001",43530
"Passenger vehicles","NSW","2002",56605
"Passenger vehicles","NSW","2003",77479
"Passenger vehicles","NSW","2004",89694
"Passenger vehicles","NSW","2005",105703
"Passenger vehicles","NSW","2006",116916
"Passenger vehicles","NSW","2007",141252
"Passenger vehicles","NSW","2008",147467
"Passenger vehicles","NSW","2009",147288
"Passenger vehicles","NSW","2010",178529
"Passenger vehicles","NSW","2011",182174
"Passenger vehicles","NSW","2012",213552
"Passenger vehicles","NSW","2013",232251
"Passenger vehicles","NSW","2014",231932
"Passenger vehicles","NSW","2015",265425
"Passenger vehicles","NSW","2016",275989
"Passenger vehicles","NSW","2017",276375
"Passenger vehicles","NSW","2018",254332
"Passenger vehicles","NSW","2019",236913
"Passenger vehicles","NSW","2020",210736
"Passenger vehicles","NSW","2021",256544
"Passenger vehicles","NSW","2022",268709
"Passenger vehicles","NSW","2023",286998
"Passenger vehicles","NSW","2024",207781
"Passenger vehicles","NSW","2025",24
"Passenger vehicles","NSW","Not stated",51
"Passenger vehicles","Vic","1901",0
"Passenger vehicles","Vic","1902",0
"Passenger vehicles","Vic","1903",0
"Passenger vehicles","Vic","1904",0
"Passenger vehicles","Vic","1905",0
"Passenger vehicles","Vic","1906",0
"Passenger vehicles","Vic","1907",0
"Passenger vehicles","Vic","1908",3
"Passenger vehicles","Vic","1909",0
"Passenger vehicles","Vic","1910",0
"Passenger vehicles","Vic","1911",0
"Passenger vehicles","Vic","1912",0
"Passenger vehicles","Vic","1913",0
"Passenger vehicles","Vic","1914",0
"Passenger vehicles","Vic","1915",3
"Passenger vehicles","Vic","1916",0
"Passenger vehicles","Vic","1917",0
"Passenger vehicles","Vic","1918",0
"Passenger vehicles","Vic","1919",0
"Passenger vehicles","Vic","1920",0
"Passenger vehicles","Vic","1921",3
"Passenger vehicles","Vic","1922",4
"Passenger vehicles","Vic","1923",29
"Passenger vehicles","Vic","1924",25
"Passenger vehicles","Vic","1925",22
"Passenger vehicles","Vic","1926",30
"Passenger vehicles","Vic","1927",60
"Passenger vehicles","Vic","1928",211
"Passenger vehicles","Vic","1929",129
"Passenger vehicles","Vic","1930",96
"Passenger vehicles","Vic","1931",44
"Passenger vehicles","Vic","1932",261
"Passenger vehicles","Vic","1933",79
"Passenger vehicles","Vic","1934",295
"Passenger vehicles","Vic","1935",99
"Passenger vehicles","Vic","1936",108
"Passenger vehicles","Vic","1937",104
"Passenger vehicles","Vic","1938",89
"Passenger vehicles","Vic","1939",91
"Passenger vehicles","Vic","1940",52
"Passenger vehicles","Vic","1941",20
"Passenger vehicles","Vic","1942",20
"Passenger vehicles","Vic","1943",8
"Passenger vehicles","Vic","1944",5
"Passenger vehicles","Vic","1945",0
"Passenger vehicles","Vic","1946",48
"Passenger vehicles","Vic","1947",78
"Passenger vehicles","Vic","1948",121
"Passenger vehicles","Vic","1949",113
"Passenger vehicles","Vic","1950",145
"Passenger vehicles","Vic","1951",155
"Passenger vehicles","Vic","1952",139
"Passenger vehicles","Vic","1953",142
"Passenger vehicles","Vic","1954",271
"Passenger vehicles","Vic","1955",444
"Passenger vehicles","Vic","1956",387
"Passenger vehicles","Vic","1957",496
"Passenger vehicles","Vic","1958",311
"Passenger vehicles","Vic","1959",389
"Passenger vehicles","Vic","1960",338
"Passenger vehicles","Vic","1961",328
"Passenger vehicles","Vic","1962",571
"Passenger vehicles","Vic","1963",769
"Passenger vehicles","Vic","1964",1171
"Passenger vehicles","Vic","1965",1232
"Passenger vehicles","Vic","1966",1488
"Passenger vehicles","Vic","1967",1499
"Passenger vehicles","Vic","1968",1446
"Passenger vehicles","Vic","1969",1599
"Passenger vehicles","Vic","1970",2056
"Passenger vehicles","Vic","1971",2097
"Passenger vehicles","Vic","1972",1322
"Passenger vehicles","Vic","1973",1434
"Passenger vehicles","Vic","1974",1540
"Passenger vehicles","Vic","1975",1359
"Passenger vehicles","Vic","1976",1318
"Passenger vehicles","Vic","1977",1274
"Passenger vehicles","Vic","1978",1322
"Passenger vehicles","Vic","1979",1037
"Passenger vehicles","Vic","1980",777
"Passenger vehicles","Vic","1981",976
"Passenger vehicles","Vic","1982",1051
"Passenger vehicles","Vic","1983",1160
"Passenger vehicles","Vic","1984",1698
"Passenger vehicles","Vic","1985",2202
"Passenger vehicles","Vic","1986",1921
"Passenger vehicles","Vic","1987",1707
"Passenger vehicles","Vic","1988",2667
"Passenger vehicles","Vic","1989",3912
"Passenger vehicles","Vic","1990",5100
"Passenger vehicles","Vic","1991",4818
"Passenger vehicles","Vic","1992",5738
"Passenger vehicles","Vic","1993",6691
"Passenger vehicles","Vic","1994",8201
"Passenger vehicles","Vic","1995",9785
"Passenger vehicles","Vic","1996",11799
"Passenger vehicles","Vic","1997",16396
"Passenger vehicles","Vic","1998",24065
"Passenger vehicles","Vic","1999",29728
"Passenger vehicles","Vic","2000",38637
"Passenger vehicles","Vic","2001",49582
"Passenger vehicles","Vic","2002",58245
"Passenger vehicles","Vic","2003",78347
"Passenger vehicles","Vic","2004",88337
"Passenger vehicles","Vic","2005",103314
"Passenger vehicles","Vic","2006",113666
"Passenger vehicles","Vic","2007",135106
"Passenger vehicles","Vic","2008",146006
"Passenger vehicles","Vic","2009",143006
"Passenger vehicles","Vic","2010",178695
"Passenger vehicles","Vic","2011",171624
"Passenger vehicles","Vic","2012",200232
"Passenger vehicles","Vic","2013",220345
"Passenger vehicles","Vic","2014",214803
"Passenger vehicles","Vic","2015",232585
"Passenger vehicles","Vic","2016",242772
"Passenger vehicles","Vic","2017",246295
"Passenger vehicles","Vic","2018",234013
"Passenger vehicles","Vic","2019",207890
"Passenger vehicles","Vic","2020",151141
"Passenger vehicles","Vic","2021",211936
"Passenger vehicles","Vic","2022",224721
"Passenger vehicles","Vic","2023",248108
"Passenger vehicles","Vic","2024",177782
"Passenger vehicles","Vic","2025",28
"Passenger vehicles","Vic","Not stated",93
"Passenger vehicles","Qld","1901",0
"Passenger vehicles","Qld","1902",0
"Passenger vehicles","Qld","1903",3
"Passenger vehicles","Qld","1904",5
"Passenger vehicles","Qld","1905",4
"Passenger vehicles","Qld","1906",8
"Passenger vehicles","Qld","1907",4
"Passenger vehicles","Qld","1908",8
"Passenger vehicles","Qld","1909",12
"Passenger vehicles","Qld","1910",23
"Passenger vehicles","Qld","1911",24
"Passenger vehicles","Qld","1912",23
"Passenger vehicles","Qld","1913",17
"Passenger vehicles","Qld","1914",14
"Passenger vehicles","Qld","1915",26
"Passenger vehicles","Qld","1916",13
"Passenger vehicles","Qld","1917",19
"Passenger vehicles","Qld","1918",12
"Passenger vehicles","Qld","1919",7
"Passenger vehicles","Qld","1920",10
"Passenger vehicles","Qld","1921",10
"Passenger vehicles","Qld","1922",24
"Passenger vehicles","Qld","1923",169
"Passenger vehicles","Qld","1924",52
"Passenger vehicles","Qld","1925",86
"Passenger vehicles","Qld","1926",141
"Passenger vehicles","Qld","1927",206
"Passenger vehicles","Qld","1928",441
"Passenger vehicles","Qld","1929",317
"Passenger vehicles","Qld","1930",217
"Passenger vehicles","Qld","1931",87
"Passenger vehicles","Qld","1932",342
"Passenger vehicles","Qld","1933",74
"Passenger vehicles","Qld","1934",338
"Passenger vehicles","Qld","1935",118
"Passenger vehicles","Qld","1936",166
"Passenger vehicles","Qld","1937",133
"Passenger vehicles","Qld","1938",136
"Passenger vehicles","Qld","1939",152
"Passenger vehicles","Qld","1940",77
"Passenger vehicles","Qld","1941",51
"Passenger vehicles","Qld","1942",130
"Passenger vehicles","Qld","1943",67
"Passenger vehicles","Qld","1944",79
"Passenger vehicles","Qld","1945",12
"Passenger vehicles","Qld","1946",116
"Passenger vehicles","Qld","1947",130
"Passenger vehicles","Qld","1948",251
"Passenger vehicles","Qld","1949",248
"Passenger vehicles","Qld","1950",256
"Passenger vehicles","Qld","1951",311
"Passenger vehicles","Qld","1952",172
"Passenger vehicles","Qld","1953",345
"Passenger vehicles","Qld","1954",527
"Passenger vehicles","Qld","1955",689
"Passenger vehicles","Qld","1956",598
"Passenger vehicles","Qld","1957",871
"Passenger vehicles","Qld","1958",626
"Passenger vehicles","Qld","1959",652
"Passenger vehicles","Qld","1960",835
"Passenger vehicles","Qld","1961",664
"Passenger vehicles","Qld","1962",1135
"Passenger vehicles","Qld","1963",1354
"Passenger vehicles","Qld","1964",2382
"Passenger vehicles","Qld","1965",2197
"Passenger vehicles","Qld","1966",2481
"Passenger vehicles","Qld","1967",2532
"Passenger vehicles","Qld","1968",2631
"Passenger vehicles","Qld","1969",2797
"Passenger vehicles","Qld","1970",3419
"Passenger vehicles","Qld","1971",3800
"Passenger vehicles","Qld","1972",2364
"Passenger vehicles","Qld","1973",2462
"Passenger vehicles","Qld","1974",2621
"Passenger vehicles","Qld","1975",2028
"Passenger vehicles","Qld","1976",2333
"Passenger vehicles","Qld","1977",2157
"Passenger vehicles","Qld","1978",2125
"Passenger vehicles","Qld","1979",1763
"Passenger vehicles","Qld","1980",1359
"Passenger vehicles","Qld","1981",1420
"Passenger vehicles","Qld","1982",1543
"Passenger vehicles","Qld","1983",1377
"Passenger vehicles","Qld","1984",2085
"Passenger vehicles","Qld","1985",2384
"Passenger vehicles","Qld","1986",1965
"Passenger vehicles","Qld","1987",1631
"Passenger vehicles","Qld","1988",2723
"Passenger vehicles","Qld","1989",4003
"Passenger vehicles","Qld","1990",4778
"Passenger vehicles","Qld","1991",4795
"Passenger vehicles","Qld","1992",5646
"Passenger vehicles","Qld","1993",6491
"Passenger vehicles","Qld","1994",7400
"Passenger vehicles","Qld","1995",8117
"Passenger vehicles","Qld","1996",9204
"Passenger vehicles","Qld","1997",13299
"Passenger vehicles","Qld","1998",17755
"Passenger vehicles","Qld","1999",21171
"Passenger vehicles","Qld","2000",27345
"Passenger vehicles","Qld","2001",29777
"Passenger vehicles","Qld","2002",39677
"Passenger vehicles","Qld","2003",56068
"Passenger vehicles","Qld","2004",67915
"Passenger vehicles","Qld","2005",81003
"Passenger vehicles","Qld","2006",89383
"Passenger vehicles","Qld","2007",108231
"Passenger vehicles","Qld","2008",107494
"Passenger vehicles","Qld","2009",103656
"Passenger vehicles","Qld","2010",129258
"Passenger vehicles","Qld","2011",132609
"Passenger vehicles","Qld","2012",154450
"Passenger vehicles","Qld","2013",164773
"Passenger vehicles","Qld","2014",155711
"Passenger vehicles","Qld","2015",177128
"Passenger vehicles","Qld","2016",171838
"Passenger vehicles","Qld","2017",176771
"Passenger vehicles","Qld","2018",168192
"Passenger vehicles","Qld","2019",151948
"Passenger vehicles","Qld","2020",136417
"Passenger vehicles","Qld","2021",166048
"Passenger vehicles","Qld","2022",182984
"Passenger vehicles","Qld","2023",196901
"Passenger vehicles","Qld","2024",148426
"Passenger vehicles","Qld","2025",10
"Passenger vehicles","Qld","Not stated",445
"Passenger vehicles","SA","1901",3
"Passenger vehicles","SA","1902",0
"Passenger vehicles","SA","1903",0
"Passenger vehicles","SA","1904",4
"Passenger vehicles","SA","1905",3
"Passenger vehicles","SA","1906",3
"Passenger vehicles","SA","1907",5
"Passenger vehicles","SA","1908",6
"Passenger vehicles","SA","1909",6
"Passenger vehicles","SA","1910",9
"Passenger vehicles","SA","1911",8
"Passenger vehicles","SA","1912",17
"Passenger vehicles","SA","1913",22
"Passenger vehicles","SA","1914",14
"Passenger vehicles","SA","1915",13
"Passenger vehicles","SA","1916",11
"Passenger vehicles","SA","1917",7
"Passenger vehicles","SA","1918",8
"Passenger vehicles","SA","1919",5
"Passenger vehicles","SA","1920",5
"Passenger vehicles","SA","1921",3
"Passenger vehicles","SA","1922",19
"Passenger vehicles","SA","1923",56
"Passenger vehicles","SA","1924",66
"Passenger vehicles","SA","1925",85
"Passenger vehicles","SA","1926",92
"Passenger vehicles","SA","1927",108
"Passenger vehicles","SA","1928",182
"Passenger vehicles","SA","1929",172
"Passenger vehicles","SA","1930",66
"Passenger vehicles","SA","1931",14
"Passenger vehicles","SA","1932",75
"Passenger vehicles","SA","1933",47
"Passenger vehicles","SA","1934",96
"Passenger vehicles","SA","1935",68
"Passenger vehicles","SA","1936",63
"Passenger vehicles","SA","1937",103
"Passenger vehicles","SA","1938",91
"Passenger vehicles","SA","1939",70
"Passenger vehicles","SA","1940",32
"Passenger vehicles","SA","1941",8
"Passenger vehicles","SA","1942",22
"Passenger vehicles","SA","1943",13
"Passenger vehicles","SA","1944",11
"Passenger vehicles","SA","1945",7
"Passenger vehicles","SA","1946",46
"Passenger vehicles","SA","1947",82
"Passenger vehicles","SA","1948",170
"Passenger vehicles","SA","1949",162
"Passenger vehicles","SA","1950",142
"Passenger vehicles","SA","1951",155
"Passenger vehicles","SA","1952",139
"Passenger vehicles","SA","1953",153
"Passenger vehicles","SA","1954",278
"Passenger vehicles","SA","1955",377
"Passenger vehicles","SA","1956",247
"Passenger vehicles","SA","1957",393
"Passenger vehicles","SA","1958",283
"Passenger vehicles","SA","1959",378
"Passenger vehicles","SA","1960",410
"Passenger vehicles","SA","1961",301
"Passenger vehicles","SA","1962",585
"Passenger vehicles","SA","1963",688
"Passenger vehicles","SA","1964",985
"Passenger vehicles","SA","1965",1116
"Passenger vehicles","SA","1966",1344
"Passenger vehicles","SA","1967",1293
"Passenger vehicles","SA","1968",1512
"Passenger vehicles","SA","1969",1578
"Passenger vehicles","SA","1970",1920
"Passenger vehicles","SA","1971",1852
"Passenger vehicles","SA","1972",1337
"Passenger vehicles","SA","1973",1263
"Passenger vehicles","SA","1974",1378
"Passenger vehicles","SA","1975",1139
"Passenger vehicles","SA","1976",1310
"Passenger vehicles","SA","1977",1173
"Passenger vehicles","SA","1978",1215
"Passenger vehicles","SA","1979",895
"Passenger vehicles","SA","1980",631
"Passenger vehicles","SA","1981",623
"Passenger vehicles","SA","1982",815
"Passenger vehicles","SA","1983",765
"Passenger vehicles","SA","1984",1123
"Passenger vehicles","SA","1985",1271
"Passenger vehicles","SA","1986",1124
"Passenger vehicles","SA","1987",975
"Passenger vehicles","SA","1988",1416
"Passenger vehicles","SA","1989",1897
"Passenger vehicles","SA","1990",2643
"Passenger vehicles","SA","1991",2444
"Passenger vehicles","SA","1992",2949
"Passenger vehicles","SA","1993",3358
"Passenger vehicles","SA","1994",3984
"Passenger vehicles","SA","1995",4811
"Passenger vehicles","SA","1996",5375
"Passenger vehicles","SA","1997",7479
"Passenger vehicles","SA","1998",10280
"Passenger vehicles","SA","1999",11432
"Passenger vehicles","SA","2000",14694
"Passenger vehicles","SA","2001",16778
"Passenger vehicles","SA","2002",21494
"Passenger vehicles","SA","2003",28446
"Passenger vehicles","SA","2004",31041
"Passenger vehicles","SA","2005",35878
"Passenger vehicles","SA","2006",37973
"Passenger vehicles","SA","2007",42368
"Passenger vehicles","SA","2008",44303
"Passenger vehicles","SA","2009",40936
"Passenger vehicles","SA","2010",51107
"Passenger vehicles","SA","2011",48541
"Passenger vehicles","SA","2012",55343
"Passenger vehicles","SA","2013",58278
"Passenger vehicles","SA","2014",54398
"Passenger vehicles","SA","2015",57469
"Passenger vehicles","SA","2016",58835
"Passenger vehicles","SA","2017",61827
"Passenger vehicles","SA","2018",57927
"Passenger vehicles","SA","2019",49610
"Passenger vehicles","SA","2020",43665
"Passenger vehicles","SA","2021",51627
"Passenger vehicles","SA","2022",55041
"Passenger vehicles","SA","2023",60285
"Passenger vehicles","SA","2024",46703
"Passenger vehicles","SA","2025",5
"Passenger vehicles","SA","Not stated",11
"Passenger vehicles","WA","1901",0
"Passenger vehicles","WA","1902",0
"Passenger vehicles","WA","1903",3
"Passenger vehicles","WA","1904",4
"Passenger vehicles","WA","1905",0
"Passenger vehicles","WA","1906",4
"Passenger vehicles","WA","1907",0
"Passenger vehicles","WA","1908",4
"Passenger vehicles","WA","1909",6
"Passenger vehicles","WA","1910",10
"Passenger vehicles","WA","1911",13
"Passenger vehicles","WA","1912",15
"Passenger vehicles","WA","1913",13
"Passenger vehicles","WA","1914",22
"Passenger vehicles","WA","1915",25
"Passenger vehicles","WA","1916",7
"Passenger vehicles","WA","1917",6
"Passenger vehicles","WA","1918",7
"Passenger vehicles","WA","1919",0
"Passenger vehicles","WA","1920",4
"Passenger vehicles","WA","1921",5
"Passenger vehicles","WA","1922",8
"Passenger vehicles","WA","1923",91
"Passenger vehicles","WA","1924",40
"Passenger vehicles","WA","1925",54
"Passenger vehicles","WA","1926",96
"Passenger vehicles","WA","1927",135
"Passenger vehicles","WA","1928",216
"Passenger vehicles","WA","1929",209
"Passenger vehicles","WA","1930",101
"Passenger vehicles","WA","1931",40
"Passenger vehicles","WA","1932",132
"Passenger vehicles","WA","1933",57
"Passenger vehicles","WA","1934",158
"Passenger vehicles","WA","1935",82
"Passenger vehicles","WA","1936",90
"Passenger vehicles","WA","1937",101
"Passenger vehicles","WA","1938",93
"Passenger vehicles","WA","1939",73
"Passenger vehicles","WA","1940",48
"Passenger vehicles","WA","1941",13
"Passenger vehicles","WA","1942",42
"Passenger vehicles","WA","1943",15
"Passenger vehicles","WA","1944",26
"Passenger vehicles","WA","1945",17
"Passenger vehicles","WA","1946",92
"Passenger vehicles","WA","1947",92
"Passenger vehicles","WA","1948",192
"Passenger vehicles","WA","1949",164
"Passenger vehicles","WA","1950",163
"Passenger vehicles","WA","1951",165
"Passenger vehicles","WA","1952",148
"Passenger vehicles","WA","1953",196
"Passenger vehicles","WA","1954",284
"Passenger vehicles","WA","1955",338
"Passenger vehicles","WA","1956",273
"Passenger vehicles","WA","1957",473
"Passenger vehicles","WA","1958",357
"Passenger vehicles","WA","1959",383
"Passenger vehicles","WA","1960",439
"Passenger vehicles","WA","1961",339
"Passenger vehicles","WA","1962",697
"Passenger vehicles","WA","1963",732
"Passenger vehicles","WA","1964",1086
"Passenger vehicles","WA","1965",1029
"Passenger vehicles","WA","1966",1338
"Passenger vehicles","WA","1967",1288
"Passenger vehicles","WA","1968",1493
"Passenger vehicles","WA","1969",1751
"Passenger vehicles","WA","1970",1958
"Passenger vehicles","WA","1971",2197
"Passenger vehicles","WA","1972",1368
"Passenger vehicles","WA","1973",1385
"Passenger vehicles","WA","1974",1596
"Passenger vehicles","WA","1975",1136
"Passenger vehicles","WA","1976",1392
"Passenger vehicles","WA","1977",1559
"Passenger vehicles","WA","1978",1325
"Passenger vehicles","WA","1979",971
"Passenger vehicles","WA","1980",651
"Passenger vehicles","WA","1981",727
"Passenger vehicles","WA","1982",818
"Passenger vehicles","WA","1983",824
"Passenger vehicles","WA","1984",1119
"Passenger vehicles","WA","1985",1357
"Passenger vehicles","WA","1986",1149
"Passenger vehicles","WA","1987",1161
"Passenger vehicles","WA","1988",1904
"Passenger vehicles","WA","1989",2474
"Passenger vehicles","WA","1990",2715
"Passenger vehicles","WA","1991",2538
"Passenger vehicles","WA","1992",3182
"Passenger vehicles","WA","1993",3903
"Passenger vehicles","WA","1994",4592
"Passenger vehicles","WA","1995",4996
"Passenger vehicles","WA","1996",5934
"Passenger vehicles","WA","1997",7836
"Passenger vehicles","WA","1998",10747
"Passenger vehicles","WA","1999",12020
"Passenger vehicles","WA","2000",15546
"Passenger vehicles","WA","2001",17134
"Passenger vehicles","WA","2002",22636
"Passenger vehicles","WA","2003",32311
"Passenger vehicles","WA","2004",39418
"Passenger vehicles","WA","2005",48847
"Passenger vehicles","WA","2006",58844
"Passenger vehicles","WA","2007",67408
"Passenger vehicles","WA","2008",70663
"Passenger vehicles","WA","2009",63867
"Passenger vehicles","WA","2010",82609
"Passenger vehicles","WA","2011",75516
"Passenger vehicles","WA","2012",93710
"Passenger vehicles","WA","2013",96472
"Passenger vehicles","WA","2014",90117
"Passenger vehicles","WA","2015",88846
"Passenger vehicles","WA","2016",89087
"Passenger vehicles","WA","2017",86794
"Passenger vehicles","WA","2018",85692
"Passenger vehicles","WA","2019",82018
"Passenger vehicles","WA","2020",71231
"Passenger vehicles","WA","2021",90755
"Passenger vehicles","WA","2022",85515
"Passenger vehicles","WA","2023",97109
"Passenger vehicles","WA","2024",74299
"Passenger vehicles","WA","2025",7
"Passenger vehicles","WA","Not stated",3
"Passenger vehicles","Tas","1901",0
"Passenger vehicles","Tas","1902",0
"Passenger vehicles","Tas","1903",3
"Passenger vehicles","Tas","1904",0
"Passenger vehicles","Tas","1905",3
"Passenger vehicles","Tas","1906",3
"Passenger vehicles","Tas","1907",4
"Passenger vehicles","Tas","1908",3
"Passenger vehicles","Tas","1909",3
"Passenger vehicles","Tas","1910",4
"Passenger vehicles","Tas","1911",3
"Passenger vehicles","Tas","1912",3
"Passenger vehicles","Tas","1913",8
"Passenger vehicles","Tas","1914",0
"Passenger vehicles","Tas","1915",7
"Passenger vehicles","Tas","1916",4
"Passenger vehicles","Tas","1917",4
"Passenger vehicles","Tas","1918",3
"Passenger vehicles","Tas","1919",0
"Passenger vehicles","Tas","1920",3
"Passenger vehicles","Tas","1921",0
"Passenger vehicles","Tas","1922",0
"Passenger vehicles","Tas","1923",11
"Passenger vehicles","Tas","1924",0
"Passenger vehicles","Tas","1925",12
"Passenger vehicles","Tas","1926",12
"Passenger vehicles","Tas","1927",7
"Passenger vehicles","Tas","1928",30
"Passenger vehicles","Tas","1929",25
"Passenger vehicles","Tas","1930",20
"Passenger vehicles","Tas","1931",0
"Passenger vehicles","Tas","1932",14
"Passenger vehicles","Tas","1933",5
"Passenger vehicles","Tas","1934",27
"Passenger vehicles","Tas","1935",15
"Passenger vehicles","Tas","1936",9
"Passenger vehicles","Tas","1937",11
"Passenger vehicles","Tas","1938",13
"Passenger vehicles","Tas","1939",7
"Passenger vehicles","Tas","1940",6
"Passenger vehicles","Tas","1941",0
"Passenger vehicles","Tas","1942",0
"Passenger vehicles","Tas","1943",4
"Passenger vehicles","Tas","1944",4
"Passenger vehicles","Tas","1945",0
"Passenger vehicles","Tas","1946",7
"Passenger vehicles","Tas","1947",11
"Passenger vehicles","Tas","1948",22
"Passenger vehicles","Tas","1949",14
"Passenger vehicles","Tas","1950",18
"Passenger vehicles","Tas","1951",21
"Passenger vehicles","Tas","1952",16
"Passenger vehicles","Tas","1953",30
"Passenger vehicles","Tas","1954",42
"Passenger vehicles","Tas","1955",35
"Passenger vehicles","Tas","1956",46
"Passenger vehicles","Tas","1957",40
"Passenger vehicles","Tas","1958",38
"Passenger vehicles","Tas","1959",43
"Passenger vehicles","Tas","1960",49
"Passenger vehicles","Tas","1961",43
"Passenger vehicles","Tas","1962",75
"Passenger vehicles","Tas","1963",91
"Passenger vehicles","Tas","1964",140
"Passenger vehicles","Tas","1965",69
"Passenger vehicles","Tas","1966",129
"Passenger vehicles","Tas","1967",140
"Passenger vehicles","Tas","1968",118
"Passenger vehicles","Tas","1969",117
"Passenger vehicles","Tas","1970",158
"Passenger vehicles","Tas","1971",211
"Passenger vehicles","Tas","1972",145
"Passenger vehicles","Tas","1973",160
"Passenger vehicles","Tas","1974",206
"Passenger vehicles","Tas","1975",204
"Passenger vehicles","Tas","1976",229
"Passenger vehicles","Tas","1977",253
"Passenger vehicles","Tas","1978",227
"Passenger vehicles","Tas","1979",191
"Passenger vehicles","Tas","1980",189
"Passenger vehicles","Tas","1981",160
"Passenger vehicles","Tas","1982",188
"Passenger vehicles","Tas","1983",235
"Passenger vehicles","Tas","1984",378
"Passenger vehicles","Tas","1985",465
"Passenger vehicles","Tas","1986",370
"Passenger vehicles","Tas","1987",312
"Passenger vehicles","Tas","1988",469
"Passenger vehicles","Tas","1989",877
"Passenger vehicles","Tas","1990",974
"Passenger vehicles","Tas","1991",969
"Passenger vehicles","Tas","1992",1175
"Passenger vehicles","Tas","1993",1474
"Passenger vehicles","Tas","1994",1719
"Passenger vehicles","Tas","1995",1871
"Passenger vehicles","Tas","1996",2139
"Passenger vehicles","Tas","1997",2938
"Passenger vehicles","Tas","1998",3913
"Passenger vehicles","Tas","1999",4288
"Passenger vehicles","Tas","2000",5709
