state,year,quarter,population
South Australia,1985,Q1,1368721
Western Australia,1985,Q1,1410377
Tasmania,1985,Q1,441324
Northern Territory,1985,Q1,146662
Australian Capital Territory,1985,Q1,248839
New South Wales,1985,Q2,5464512
Victoria,1985,Q2,4120068
Queensland,1985,Q2,2571218
South Australia,1985,Q2,1371197
Western Australia,1985,Q2,1418564
Tasmania,1985,Q2,442828
Northern Territory,1985,Q2,148536
Australian Capital Territory,1985,Q2,251389
New South Wales,1985,Q3,5478254
Victoria,1985,Q3,4129796
Queensland,1985,Q3,2583368
South Australia,1985,Q3,1373324
Western Australia,1985,Q3,1427370
Tasmania,1985,Q3,443548
Northern Territory,1985,Q3,150596
Australian Capital Territory,1985,Q3,253446
New South Wales,1985,Q4,5496467
Victoria,1985,Q4,4140421
Queensland,1985,Q4,2597100
South Australia,1985,Q4,1376838
Western Australia,1985,Q4,1436900
Tasmania,1985,Q4,444576
Northern Territory,1985,Q4,152356
Australian Capital Territory,1985,Q4,255908
New South Wales,1986,Q1,5516377
Victoria,1986,Q1,4151053
Queensland,1986,Q1,2610205
South Australia,1986,Q1,1380317
Western Australia,1986,Q1,1447254
Tasmania,1986,Q1,445723
Northern Territory,1986,Q1,153284
Australian Capital Territory,1986,Q1,257285
New South Wales,1986,Q2,5531526
Victoria,1986,Q2,4160856
Queensland,1986,Q2,2624595
South Australia,1986,Q2,1382550
Western Australia,1986,Q2,1459019
Tasmania,1986,Q2,446473
Northern Territory,1986,Q2,154421
Australian Capital Territory,1986,Q2,258910
New South Wales,1986,Q3,5549928
Victoria,1986,Q3,4171942
Queensland,1986,Q3,2636477
South Australia,1986,Q3,1384840
Western Australia,1986,Q3,1468413
Tasmania,1986,Q3,447325
Northern Territory,1986,Q3,155571
Australian Capital Territory,1986,Q3,260545
New South Wales,1986,Q4,5574251
Victoria,1986,Q4,4183842
Queensland,1986,Q4,2648778
South Australia,1986,Q4,1387499
Western Australia,1986,Q4,1477398
Tasmania,1986,Q4,448235
Northern Territory,1986,Q4,156578
Australian Capital Territory,1986,Q4,262188
New South Wales,1987,Q1,5596207
Victoria,1987,Q1,4197414
Queensland,1987,Q1,2662654
South Australia,1987,Q1,1390436
Western Australia,1987,Q1,1486905
Tasmania,1987,Q1,448597
Northern Territory,1987,Q1,157775
Australian Capital Territory,1987,Q1,264053
New South Wales,1987,Q2,5616736
Victoria,1987,Q2,4210111
Queensland,1987,Q2,2675107
South Australia,1987,Q2,1392764
Western Australia,1987,Q2,1496248
Tasmania,1987,Q2,449226
Northern Territory,1987,Q2,158205
Australian Capital Territory,1987,Q2,265477
New South Wales,1987,Q3,5639899
Victoria,1987,Q3,4223707
Queensland,1987,Q3,2688129
South Australia,1987,Q3,1395947
Western Australia,1987,Q3,1505294
Tasmania,1987,Q3,449373
Northern Territory,1987,Q3,159142
Australian Capital Territory,1987,Q3,267375
New South Wales,1987,Q4,5666219
Victoria,1987,Q4,4234945
Queensland,1987,Q4,2703516
South Australia,1987,Q4,1398959
Western Australia,1987,Q4,1513355
Tasmania,1987,Q4,449820
Northern Territory,1987,Q4,159040
Australian Capital Territory,1987,Q4,268787
New South Wales,1988,Q1,5689397
Victoria,1988,Q1,4249985
Queensland,1988,Q1,2723992
South Australia,1988,Q1,1402329
Western Australia,1988,Q1,1525576
Tasmania,1988,Q1,450572
Northern Territory,1988,Q1,158959
Australian Capital Territory,1988,Q1,270957
New South Wales,1988,Q2,5707309
Victoria,1988,Q2,4262569
Queensland,1988,Q2,2739907
South Australia,1988,Q2,1404909
Western Australia,1988,Q2,1535167
Tasmania,1988,Q2,451148
Northern Territory,1988,Q2,159026
Australian Capital Territory,1988,Q2,272129
New South Wales,1988,Q3,5730331
Victoria,1988,Q3,4280376
Queensland,1988,Q3,2760389
South Australia,1988,Q3,1408705
Western Australia,1988,Q3,1548042
Tasmania,1988,Q3,451905
Northern Territory,1988,Q3,159804
Australian Capital Territory,1988,Q3,273087
New South Wales,1988,Q4,5752254
Victoria,1988,Q4,4295300
Queensland,1988,Q4,2780869
South Australia,1988,Q4,1412323
Western Australia,1988,Q4,1558914
Tasmania,1988,Q4,452781
Northern Territory,1988,Q4,160536
Australian Capital Territory,1988,Q4,274105
New South Wales,1989,Q1,5769720
Victoria,1989,Q1,4309978
Queensland,1989,Q1,2806845
South Australia,1989,Q1,1416938
Western Australia,1989,Q1,1569712
Tasmania,1989,Q1,453932
Northern Territory,1989,Q1,161050
Australian Capital Territory,1989,Q1,275867
New South Wales,1989,Q2,5776283
Victoria,1989,Q2,4320164
Queensland,1989,Q2,2827637
South Australia,1989,Q2,1419029
Western Australia,1989,Q2,1578434
Tasmania,1989,Q2,455258
Northern Territory,1989,Q2,161179
Australian Capital Territory,1989,Q2,276432
New South Wales,1989,Q3,5785625
Victoria,1989,Q3,4333537
Queensland,1989,Q3,2847045
South Australia,1989,Q3,1421671
Western Australia,1989,Q3,1588186
Tasmania,1989,Q3,456830
Northern Territory,1989,Q3,161674
Australian Capital Territory,1989,Q3,277470
New South Wales,1989,Q4,5803079
Victoria,1989,Q4,4348225
Queensland,1989,Q4,2864007
South Australia,1989,Q4,1425461
Western Australia,1989,Q4,1596225
Tasmania,1989,Q4,458410
Northern Territory,1989,Q4,162097
Australian Capital Territory,1989,Q4,279219
New South Wales,1990,Q1,5818151
Victoria,1990,Q1,4364548
Queensland,1990,Q1,2884170
South Australia,1990,Q1,1429541
Western Australia,1990,Q1,1605959
Tasmania,1990,Q1,460070
Northern Territory,1990,Q1,162538
Australian Capital Territory,1990,Q1,280659
New South Wales,1990,Q2,5834021
Victoria,1990,Q2,4378592
Queensland,1990,Q2,2899283
South Australia,1990,Q2,1432056
Western Australia,1990,Q2,1613049
Tasmania,1990,Q2,462188
Northern Territory,1990,Q2,163728
Australian Capital Territory,1990,Q2,282211
New South Wales,1990,Q3,5849534
Victoria,1990,Q3,4391183
Queensland,1990,Q3,2913538
South Australia,1990,Q3,1435497
Western Australia,1990,Q3,1619848
Tasmania,1990,Q3,463469
Northern Territory,1990,Q3,164392
Australian Capital Territory,1990,Q3,283671
New South Wales,1990,Q4,5862497
Victoria,1990,Q4,4400707
Queensland,1990,Q4,2928713
South Australia,1990,Q4,1438882
Western Australia,1990,Q4,1624390
Tasmania,1990,Q4,464520
Northern Territory,1990,Q4,165047
Australian Capital Territory,1990,Q4,285012
New South Wales,1991,Q1,5883248
Victoria,1991,Q1,4413410
Queensland,1991,Q1,2947512
South Australia,1991,Q1,1443371
Western Australia,1991,Q1,1631357
Tasmania,1991,Q1,465870
Northern Territory,1991,Q1,165356
Australian Capital Territory,1991,Q1,287300
New South Wales,1991,Q2,5898731
Victoria,1991,Q2,4420373
Queensland,1991,Q2,2960951
South Australia,1991,Q2,1446299
Western Australia,1991,Q2,1636067
Tasmania,1991,Q2,466802
Northern Territory,1991,Q2,165493
Australian Capital Territory,1991,Q2,289320
New South Wales,1991,Q3,5916714
Victoria,1991,Q3,4429409
Queensland,1991,Q3,2975984
South Australia,1991,Q3,1449037
Western Australia,1991,Q3,1642746
Tasmania,1991,Q3,467736
Northern Territory,1991,Q3,166716
Australian Capital Territory,1991,Q3,290517
New South Wales,1991,Q4,5928072
Victoria,1991,Q4,4435083
Queensland,1991,Q4,2990441
South Australia,1991,Q4,1450862
Western Australia,1991,Q4,1647408
Tasmania,1991,Q4,468549
Northern Territory,1991,Q4,167043
Australian Capital Territory,1991,Q4,291523
New South Wales,1992,Q1,5946386
Victoria,1992,Q1,4445141
Queensland,1992,Q1,3010322
South Australia,1992,Q1,1454160
Western Australia,1992,Q1,1654244
Tasmania,1992,Q1,469433
Northern Territory,1992,Q1,168117
Australian Capital Territory,1992,Q1,293484
New South Wales,1992,Q2,5957822
Victoria,1992,Q2,4450217
Queensland,1992,Q2,3023198
South Australia,1992,Q2,1455442
Western Australia,1992,Q2,1658544
Tasmania,1992,Q2,469979
Northern Territory,1992,Q2,168546
Australian Capital Territory,1992,Q2,294887
New South Wales,1992,Q3,5970754
Victoria,1992,Q3,4454836
Queensland,1992,Q3,3041149
South Australia,1992,Q3,1456178
Western Australia,1992,Q3,1664755
Tasmania,1992,Q3,470443
Northern Territory,1992,Q3,169101
Australian Capital Territory,1992,Q3,296087
New South Wales,1992,Q4,5977823
Victoria,1992,Q4,4458219
Queensland,1992,Q4,3057138
South Australia,1992,Q4,1457241
Western Australia,1992,Q4,1668515
Tasmania,1992,Q4,471258
Northern Territory,1992,Q4,170420
Australian Capital Territory,1992,Q4,296519
New South Wales,1993,Q1,5990424
Victoria,1993,Q1,4463265
Queensland,1993,Q1,3081331
South Australia,1993,Q1,1457895
Western Australia,1993,Q1,1674250
Tasmania,1993,Q1,471864
Northern Territory,1993,Q1,171319
Australian Capital Territory,1993,Q1,299204
New South Wales,1993,Q2,5995055
Victoria,1993,Q2,4462766
Queensland,1993,Q2,3096185
South Australia,1993,Q2,1458632
Western Australia,1993,Q2,1678722
Tasmania,1993,Q2,471987
Northern Territory,1993,Q2,171708
Australian Capital Territory,1993,Q2,299753
New South Wales,1993,Q3,6009659
Victoria,1993,Q3,4464794
Queensland,1993,Q3,3115843
South Australia,1993,Q3,1460306
Western Australia,1993,Q3,1684972
Tasmania,1993,Q3,472574
Northern Territory,1993,Q3,172884
Australian Capital Territory,1993,Q3,300030
New South Wales,1993,Q4,6020171
Victoria,1993,Q4,4466738
Queensland,1993,Q4,3130986
South Australia,1993,Q4,1461102
Western Australia,1993,Q4,1690348
Tasmania,1993,Q4,472983
Northern Territory,1993,Q4,173590
Australian Capital Territory,1993,Q4,300490
New South Wales,1994,Q1,6037096
Victoria,1994,Q1,4471010
Queensland,1994,Q1,3151365
South Australia,1994,Q1,1462557
Western Australia,1994,Q1,1698534
Tasmania,1994,Q1,473143
Northern Territory,1994,Q1,174237
Australian Capital Territory,1994,Q1,301413
New South Wales,1994,Q2,6044819
Victoria,1994,Q2,4472989
Queensland,1994,Q2,3166566
South Australia,1994,Q2,1463089
Western Australia,1994,Q2,1704649
Tasmania,1994,Q2,473499
Northern Territory,1994,Q2,174908
Australian Capital Territory,1994,Q2,302194
New South Wales,1994,Q3,6063058
Victoria,1994,Q3,4479378
Queensland,1994,Q3,3184148
South Australia,1994,Q3,1463714
Western Australia,1994,Q3,1713520
Tasmania,1994,Q3,473972
Northern Territory,1994,Q3,175543
Australian Capital Territory,1994,Q3,303134
New South Wales,1994,Q4,6071872
Victoria,1994,Q4,4483205
Queensland,1994,Q4,3198877
South Australia,1994,Q4,1463977
Western Australia,1994,Q4,1718549
Tasmania,1994,Q4,474076
Northern Territory,1994,Q4,176761
Australian Capital Territory,1994,Q4,303289
New South Wales,1995,Q1,6087910
Victoria,1995,Q1,4491289
Queensland,1995,Q1,3218314
South Australia,1995,Q1,1464763
Western Australia,1995,Q1,1727907
Tasmania,1995,Q1,474411
Northern Territory,1995,Q1,178692
Australian Capital Territory,1995,Q1,305388
New South Wales,1995,Q2,6105560
Victoria,1995,Q2,4497660
Queensland,1995,Q2,3237380
South Australia,1995,Q2,1465340
Western Australia,1995,Q2,1736066
Tasmania,1995,Q2,474515
Northern Territory,1995,Q2,179602
Australian Capital Territory,1995,Q2,305838
New South Wales,1995,Q3,6124648
Victoria,1995,Q3,4506386
Queensland,1995,Q3,3255117
South Australia,1995,Q3,1465759
Western Australia,1995,Q3,1744788
Tasmania,1995,Q3,474941
Northern Territory,1995,Q3,180698
Australian Capital Territory,1995,Q3,306880
New South Wales,1995,Q4,6143971
Victoria,1995,Q4,4517353
Queensland,1995,Q4,3271743
South Australia,1995,Q4,1466605
Western Australia,1995,Q4,1751933
Tasmania,1995,Q4,475148
Northern Territory,1995,Q4,182829
Australian Capital Territory,1995,Q4,307022
New South Wales,1996,Q1,6159806
Victoria,1996,Q1,4527573
Queensland,1996,Q1,3289507
South Australia,1996,Q1,1467943
Western Australia,1996,Q1,1760445
Tasmania,1996,Q1,475282
Northern Territory,1996,Q1,183859
Australian Capital Territory,1996,Q1,308512
New South Wales,1996,Q2,6176461
Victoria,1996,Q2,4534984
Queensland,1996,Q2,3303192
South Australia,1996,Q2,1469079
Western Australia,1996,Q2,1768206
Tasmania,1996,Q2,475605
Northern Territory,1996,Q2,184516
Australian Capital Territory,1996,Q2,309629
New South Wales,1996,Q3,6196251
Victoria,1996,Q3,4544480
Queensland,1996,Q3,3318599
South Australia,1996,Q3,1470334
Western Australia,1996,Q3,1776454
Tasmania,1996,Q3,475731
Northern Territory,1996,Q3,186229
Australian Capital Territory,1996,Q3,310227
New South Wales,1996,Q4,6214548
Victoria,1996,Q4,4552904
Queensland,1996,Q4,3330579
South Australia,1996,Q4,1471997
Western Australia,1996,Q4,1783556
Tasmania,1996,Q4,475529
Northern Territory,1996,Q4,187342
Australian Capital Territory,1996,Q4,310655
New South Wales,1997,Q1,6234303
Victoria,1997,Q1,4565356
Queensland,1997,Q1,3343777
South Australia,1997,Q1,1474442
Western Australia,1997,Q1,1793345
Tasmania,1997,Q1,475444
Northern Territory,1997,Q1,188223
Australian Capital Territory,1997,Q1,310910
New South Wales,1997,Q2,6246267
Victoria,1997,Q2,4569297
Queensland,1997,Q2,3355417
South Australia,1997,Q2,1475658
Western Australia,1997,Q2,1798341
Tasmania,1997,Q2,474908
Northern Territory,1997,Q2,189755
Australian Capital Territory,1997,Q2,310533
New South Wales,1997,Q3,6260867
Victoria,1997,Q3,4578175
Queensland,1997,Q3,3369184
South Australia,1997,Q3,1477371
Western Australia,1997,Q3,1804800
Tasmania,1997,Q3,474528
Northern Territory,1997,Q3,190694
Australian Capital Territory,1997,Q3,310258
New South Wales,1997,Q4,6274966
Victoria,1997,Q4,4586156
Queensland,1997,Q4,3380394
South Australia,1997,Q4,1479003
Western Australia,1997,Q4,1810928
Tasmania,1997,Q4,474215
Northern Territory,1997,Q4,191259
Australian Capital Territory,1997,Q4,310281
New South Wales,1998,Q1,6295260
Victoria,1998,Q1,4600872
Queensland,1998,Q1,3393483
South Australia,1998,Q1,1482137
Western Australia,1998,Q1,1820812
Tasmania,1998,Q1,473982
Northern Territory,1998,Q1,192061
Australian Capital Territory,1998,Q1,311026
New South Wales,1998,Q2,6305799
Victoria,1998,Q2,4606970
Queensland,1998,Q2,3404484
South Australia,1998,Q2,1483270
Western Australia,1998,Q2,1826440
Tasmania,1998,Q2,473430
Northern Territory,1998,Q2,192905
Australian Capital Territory,1998,Q2,311532
New South Wales,1998,Q3,6324111
Victoria,1998,Q3,4617308
Queensland,1998,Q3,3416076
South Australia,1998,Q3,1484580
Western Australia,1998,Q3,1834703
Tasmania,1998,Q3,473430
Northern Territory,1998,Q3,193703
Australian Capital Territory,1998,Q3,311732
New South Wales,1998,Q4,6338790
Victoria,1998,Q4,4629345
Queensland,1998,Q4,3427505
South Australia,1998,Q4,1487042
Western Australia,1998,Q4,1840078
Tasmania,1998,Q4,473450
Northern Territory,1998,Q4,194390
Australian Capital Territory,1998,Q4,312300
New South Wales,1999,Q1,6360552
Victoria,1999,Q1,4645152
Queensland,1999,Q1,3442196
South Australia,1999,Q1,1489729
Western Australia,1999,Q1,1848303
Tasmania,1999,Q1,473189
Northern Territory,1999,Q1,195251
Australian Capital Territory,1999,Q1,313466
New South Wales,1999,Q2,6375103
Victoria,1999,Q2,4652462
Queensland,1999,Q2,3453936
South Australia,1999,Q2,1490934
Western Australia,1999,Q2,1853936
Tasmania,1999,Q2,473030
Northern Territory,1999,Q2,196012
Australian Capital Territory,1999,Q2,314171
New South Wales,1999,Q3,6393100
Victoria,1999,Q3,4665626
Queensland,1999,Q3,3466399
South Australia,1999,Q3,1493030
Western Australia,1999,Q3,1862033
Tasmania,1999,Q3,473181
Northern Territory,1999,Q3,196807
Australian Capital Territory,1999,Q3,314833
New South Wales,1999,Q4,6409971
Victoria,1999,Q4,4677581
Queensland,1999,Q4,3481034
South Australia,1999,Q4,1495218
Western Australia,1999,Q4,1866265
Tasmania,1999,Q4,473294
Northern Territory,1999,Q4,197757
Australian Capital Territory,1999,Q4,315431
New South Wales,2000,Q1,6431826
Victoria,2000,Q1,4695560
Queensland,2000,Q1,3497147
South Australia,2000,Q1,1496828
Western Australia,2000,Q1,1874371
Tasmania,2000,Q1,473303
Northern Territory,2000,Q1,198304
Australian Capital Territory,2000,Q1,316731
New South Wales,2000,Q2,6446558
Victoria,2000,Q2,4704065
Queensland,2000,Q2,3509458
South Australia,2000,Q2,1497503
Western Australia,2000,Q2,1879093
Tasmania,2000,Q2,473123
Northern Territory,2000,Q2,199149
Australian Capital Territory,2000,Q2,317235
New South Wales,2000,Q3,6465614
Victoria,2000,Q3,4718436
Queensland,2000,Q3,3523446
South Australia,2000,Q3,1498934
Western Australia,2000,Q3,1886084
Tasmania,2000,Q3,473035
Northern Territory,2000,Q3,199816
Australian Capital Territory,2000,Q3,318079
New South Wales,2000,Q4,6485081
Victoria,2000,Q4,4730855
Queensland,2000,Q4,3537670
South Australia,2000,Q4,1500129
Western Australia,2000,Q4,1892531
Tasmania,2000,Q4,473200
Northern Territory,2000,Q4,200045
Australian Capital Territory,2000,Q4,318941
New South Wales,2001,Q1,6513844
Victoria,2001,Q1,4753725
Queensland,2001,Q1,3556466
South Australia,2001,Q1,1502299
Western Australia,2001,Q1,1901295
Tasmania,2001,Q1,473662
Northern Territory,2001,Q1,200789
Australian Capital Territory,2001,Q1,320526
New South Wales,2001,Q2,6530349
Victoria,2001,Q2,4763615
Queensland,2001,Q2,3571469
South Australia,2001,Q2,1503461
Western Australia,2001,Q2,1906274
Tasmania,2001,Q2,473668
Northern Territory,2001,Q2,201743
Australian Capital Territory,2001,Q2,321538
New South Wales,2001,Q3,6544891
Victoria,2001,Q3,4776052
Queensland,2001,Q3,3590969
South Australia,2001,Q3,1504992
Western Australia,2001,Q3,1912214
Tasmania,2001,Q3,473530
Northern Territory,2001,Q3,201995
Australian Capital Territory,2001,Q3,321942
New South Wales,2001,Q4,6558484
Victoria,2001,Q4,4790212
Queensland,2001,Q4,3611203
South Australia,2001,Q4,1507825
Western Australia,2001,Q4,1917752
Tasmania,2001,Q4,473890
Northern Territory,2001,Q4,201751
Australian Capital Territory,2001,Q4,322874
New South Wales,2002,Q1,6575296
Victoria,2002,Q1,4808940
Queensland,2002,Q1,3631451
South Australia,2002,Q1,1510013
Western Australia,2002,Q1,1924935
Tasmania,2002,Q1,474218
Northern Territory,2002,Q1,201880
Australian Capital Territory,2002,Q1,324187
New South Wales,2002,Q2,6580807
Victoria,2002,Q2,4817774
Queensland,2002,Q2,3653123
South Australia,2002,Q2,1511567
Western Australia,2002,Q2,1928512
Tasmania,2002,Q2,474152
Northern Territory,2002,Q2,202251
Australian Capital Territory,2002,Q2,324627
New South Wales,2002,Q3,6590659
Victoria,2002,Q3,4830383
Queensland,2002,Q3,3676870
South Australia,2002,Q3,1513662
Western Australia,2002,Q3,1932977
Tasmania,2002,Q3,474626
Northern Territory,2002,Q3,202069
Australian Capital Territory,2002,Q3,325255
New South Wales,2002,Q4,6599441
Victoria,2002,Q4,4845024
Queensland,2002,Q4,3700791
South Australia,2002,Q4,1515723
Western Australia,2002,Q4,1938610
Tasmania,2002,Q4,475998
Northern Territory,2002,Q4,201549
Australian Capital Territory,2002,Q4,325950
New South Wales,2003,Q1,6615712
Victoria,2003,Q1,4864214
Queensland,2003,Q1,3723239
South Australia,2003,Q1,1518570
Western Australia,2003,Q1,1946831
Tasmania,2003,Q1,477576
Northern Territory,2003,Q1,201068
Australian Capital Territory,2003,Q1,327083
New South Wales,2003,Q2,6620715
Victoria,2003,Q2,4873809
Queensland,2003,Q2,3743121
South Australia,2003,Q2,1520399
Western Australia,2003,Q2,1952741
Tasmania,2003,Q2,478534
Northern Territory,2003,Q2,201725
Australian Capital Territory,2003,Q2,327357
New South Wales,2003,Q3,6627538
Victoria,2003,Q3,4887826
Queensland,2003,Q3,3765109
South Australia,2003,Q3,1522193
Western Australia,2003,Q3,1959430
Tasmania,2003,Q3,479829
Northern Territory,2003,Q3,201781
Australian Capital Territory,2003,Q3,327387
New South Wales,2003,Q4,6634509
Victoria,2003,Q4,4900176
Queensland,2003,Q4,3788560
South Australia,2003,Q4,1524727
Western Australia,2003,Q4,1966130
Tasmania,2003,Q4,481411
Northern Territory,2003,Q4,201708
Australian Capital Territory,2003,Q4,327596
New South Wales,2004,Q1,6648280
Victoria,2004,Q1,4918070
Queensland,2004,Q1,3810921
South Australia,2004,Q1,1526994
Western Australia,2004,Q1,1974145
Tasmania,2004,Q1,482778
Northern Territory,2004,Q1,202009
Australian Capital Territory,2004,Q1,328560
New South Wales,2004,Q2,6650735
Victoria,2004,Q2,4927149
Queensland,2004,Q2,3829970
South Australia,2004,Q2,1528189
Western Australia,2004,Q2,1979542
Tasmania,2004,Q2,483178
Northern Territory,2004,Q2,202663
Australian Capital Territory,2004,Q2,328940
New South Wales,2004,Q3,6660416
Victoria,2004,Q3,4943359
Queensland,2004,Q3,3849852
South Australia,2004,Q3,1530521
Western Australia,2004,Q3,1986513
Tasmania,2004,Q3,483995
Northern Territory,2004,Q3,203527
Australian Capital Territory,2004,Q3,329131
New South Wales,2004,Q4,6669206
Victoria,2004,Q4,4957147
Queensland,2004,Q4,3872351
South Australia,2004,Q4,1532562
Western Australia,2004,Q4,1994241
Tasmania,2004,Q4,484778
Northern Territory,2004,Q4,203857
Australian Capital Territory,2004,Q4,329498
New South Wales,2005,Q1,6685875
Victoria,2005,Q1,4978342
Queensland,2005,Q1,3896951
South Australia,2005,Q1,1536798
Western Australia,2005,Q1,2004644
Tasmania,2005,Q1,485755
Northern Territory,2005,Q1,204897
Australian Capital Territory,2005,Q1,330916
New South Wales,2005,Q2,6693206
Victoria,2005,Q2,4989246
Queensland,2005,Q2,3918494
South Australia,2005,Q2,1538804
Western Australia,2005,Q2,2011207
Tasmania,2005,Q2,486202
Northern Territory,2005,Q2,205905
Australian Capital Territory,2005,Q2,331399
New South Wales,2005,Q3,6707429
Victoria,2005,Q3,5006241
Queensland,2005,Q3,3940494
South Australia,2005,Q3,1542004
Western Australia,2005,Q3,2020359
Tasmania,2005,Q3,486893
Northern Territory,2005,Q3,206759
Australian Capital Territory,2005,Q3,332177
New South Wales,2005,Q4,6718023
Victoria,2005,Q4,5023203
Queensland,2005,Q4,3964175
South Australia,2005,Q4,1544852
Western Australia,2005,Q4,2029936
Tasmania,2005,Q4,488098
Northern Territory,2005,Q4,207385
Australian Capital Territory,2005,Q4,333505
New South Wales,2006,Q1,6735528
Victoria,2006,Q1,5048207
Queensland,2006,Q1,3987653
South Australia,2006,Q1,1550135
Western Australia,2006,Q1,2042450
Tasmania,2006,Q1,489140
Northern Territory,2006,Q1,208347
Australian Capital Territory,2006,Q1,334299
New South Wales,2006,Q2,6742690
Victoria,2006,Q2,5061266
Queensland,2006,Q2,4007992
South Australia,2006,Q2,1552529
Western Australia,2006,Q2,2050581
Tasmania,2006,Q2,489302
Northern Territory,2006,Q2,209057
Australian Capital Territory,2006,Q2,335170
New South Wales,2006,Q3,6766133
Victoria,2006,Q3,5083593
Queensland,2006,Q3,4031580
South Australia,2006,Q3,1557332
Western Australia,2006,Q3,2064032
Tasmania,2006,Q3,490354
Northern Territory,2006,Q3,210284
Australian Capital Territory,2006,Q3,336547
New South Wales,2006,Q4,6786160
Victoria,2006,Q4,5103965
Queensland,2006,Q4,4055845
South Australia,2006,Q4,1561300
Western Australia,2006,Q4,2076867
Tasmania,2006,Q4,491515
Northern Territory,2006,Q4,211029
Australian Capital Territory,2006,Q4,338381
New South Wales,2007,Q1,6815359
Victoria,2007,Q1,5134074
Queensland,2007,Q1,4084531
South Australia,2007,Q1,1567206
