state,year,month,product,consumption_ml
VIC,2021,5,Automotive Diesel Oil,127.3
VIC,2021,6,Automotive Diesel Oil,90.0
VIC,2021,7,Automotive Diesel Oil,143.2
VIC,2021,8,Automotive Diesel Oil,583.3
VIC,2021,9,Automotive Diesel Oil,723.3
VIC,2021,10,Automotive Diesel Oil,408.8
VIC,2021,11,Automotive Diesel Oil,104.0
VIC,2021,12,Automotive Diesel Oil,374.4
VIC,2022,1,Automotive Diesel Oil,896.7
VIC,2022,2,Automotive Diesel Oil,499.7
VIC,2022,3,Automotive Diesel Oil,875.4
VIC,2022,4,Automotive Diesel Oil,781.7
VIC,2022,5,Automotive Diesel Oil,59.8
VIC,2022,6,Automotive Diesel Oil,662.6
VIC,2022,7,Automotive Diesel Oil,629.5
VIC,2022,8,Automotive Diesel Oil,506.4
VIC,2022,9,Automotive Diesel Oil,276.8
VIC,2022,10,Automotive Diesel Oil,594.8
VIC,2022,11,Automotive Diesel Oil,144.8
VIC,2022,12,Automotive Diesel Oil,419.6
VIC,2023,1,Automotive Diesel Oil,435.7
VIC,2023,2,Automotive Diesel Oil,860.7
VIC,2023,3,Automotive Diesel Oil,794.5
VIC,2023,4,Automotive Diesel Oil,273.9
VIC,2023,5,Automotive Diesel Oil,475.5
VIC,2023,6,Automotive Diesel Oil,201.9
VIC,2023,7,Automotive Diesel Oil,825.7
VIC,2023,8,Automotive Diesel Oil,789.9
VIC,2023,9,Automotive Diesel Oil,303.7
VIC,2023,10,Automotive Diesel Oil,593.1
VIC,2023,11,Automotive Diesel Oil,567.6
VIC,2023,12,Automotive Diesel Oil,179.9
VIC,2024,1,Automotive Diesel Oil,698.1
VIC,2024,2,Automotive Diesel Oil,508.5
VIC,2024,3,Automotive Diesel Oil,711.8
VIC,2024,4,Automotive Diesel Oil,500.8
VIC,2024,5,Automotive Diesel Oil,50.5
VIC,2024,6,Automotive Diesel Oil,325.5
VIC,2024,7,Automotive Diesel Oil,66.6
VIC,2024,8,Automotive Diesel Oil,839.7
VIC,2024,9,Automotive Diesel Oil,796.9
VIC,2024,10,Automotive Diesel Oil,756.9
VIC,2024,11,Automotive Diesel Oil,311.4
VIC,2024,12,Automotive Diesel Oil,99.2
VIC,2025,1,Automotive Diesel Oil,796.3
VIC,2025,2,Automotive Diesel Oil,854.9
VIC,2025,3,Automotive Diesel Oil,122.8
VIC,2025,4,Automotive Diesel Oil,463.1
VIC,2025,5,Automotive Diesel Oil,108.8
VIC,2025,6,Automotive Diesel Oil,696.5
VIC,2025,7,Automotive Diesel Oil,701.0
VIC,2025,8,Automotive Diesel Oil,159.1
VIC,2025,9,Automotive Diesel Oil,454.0
VIC,2025,10,Automotive Diesel Oil,517.3
VIC,2025,11,Automotive Diesel Oil,275.3
VIC,2025,12,Automotive Diesel Oil,791.6
QLD,2020,1,Automotive Diesel Oil,409.7
QLD,2020,2,Automotive Diesel Oil,230.0
QLD,2020,3,Automotive Diesel Oil,508.4
QLD,2020,4,Automotive Diesel Oil,670.4
QLD,2020,5,Automotive Diesel Oil,221.0
QLD,2020,6,Automotive Diesel Oil,315.0
QLD,2020,7,Automotive Diesel Oil,895.9
QLD,2020,8,Automotive Diesel Oil,602.4
QLD,2020,9,Automotive Diesel Oil,422.4
QLD,2020,10,Automotive Diesel Oil,489.9
QLD,2020,11,Automotive Diesel Oil,152.9
QLD,2020,12,Automotive Diesel Oil,241.0
QLD,2021,1,Automotive Diesel Oil,337.4
QLD,2021,2,Automotive Diesel Oil,550.1
QLD,2021,3,Automotive Diesel Oil,245.6
QLD,2021,4,Automotive Diesel Oil,237.2
QLD,2021,5,Automotive Diesel Oil,110.3
QLD,2021,6,Automotive Diesel Oil,586.4
QLD,2021,7,Automotive Diesel Oil,244.6
QLD,2021,8,Automotive Diesel Oil,819.6
QLD,2021,9,Automotive Diesel Oil,780.7
QLD,2021,10,Automotive Diesel Oil,110.2
QLD,2021,11,Automotive Diesel Oil,252.3
QLD,2021,12,Automotive Diesel Oil,618.6
QLD,2022,1,Automotive Diesel Oil,232.1
QLD,2022,2,Automotive Diesel Oil,162.5
QLD,2022,3,Automotive Diesel Oil,845.2
QLD,2022,4,Automotive Diesel Oil,535.4
QLD,2022,5,Automotive Diesel Oil,451.8
QLD,2022,6,Automotive Diesel Oil,716.9
QLD,2022,7,Automotive Diesel Oil,736.4
QLD,2022,8,Automotive Diesel Oil,211.8
QLD,2022,9,Automotive Diesel Oil,132.4
QLD,2022,10,Automotive Diesel Oil,416.4
QLD,2022,11,Automotive Diesel Oil,410.0
QLD,2022,12,Automotive Diesel Oil,447.0
QLD,2023,1,Automotive Diesel Oil,669.7
QLD,2023,2,Automotive Diesel Oil,622.4
QLD,2023,3,Automotive Diesel Oil,886.5
QLD,2023,4,Automotive Diesel Oil,133.7
QLD,2023,5,Automotive Diesel Oil,392.2
QLD,2023,6,Automotive Diesel Oil,338.4
QLD,2023,7,Automotive Diesel Oil,782.4
QLD,2023,8,Automotive Diesel Oil,261.4
QLD,2023,9,Automotive Diesel Oil,211.7
QLD,2023,10,Automotive Diesel Oil,431.3
QLD,2023,11,Automotive Diesel Oil,408.6
QLD,2023,12,Automotive Diesel Oil,286.8
QLD,2024,1,Automotive Diesel Oil,262.3
QLD,2024,2,Automotive Diesel Oil,834.8
QLD,2024,3,Automotive Diesel Oil,426.7
QLD,2024,4,Automotive Diesel Oil,782.1
QLD,2024,5,Automotive Diesel Oil,517.8
QLD,2024,6,Automotive Diesel Oil,93.0
QLD,2024,7,Automotive Diesel Oil,899.4
QLD,2024,8,Automotive Diesel Oil,760.6
QLD,2024,9,Automotive Diesel Oil,873.6
QLD,2024,10,Automotive Diesel Oil,837.4
QLD,2024,11,Automotive Diesel Oil,771.4
QLD,2024,12,Automotive Diesel Oil,191.4
QLD,2025,1,Automotive Diesel Oil,462.8
QLD,2025,2,Automotive Diesel Oil,231.7
QLD,2025,3,Automotive Diesel Oil,390.9
QLD,2025,4,Automotive Diesel Oil,99.8
QLD,2025,5,Automotive Diesel Oil,372.1
QLD,2025,6,Automotive Diesel Oil,887.5
QLD,2025,7,Automotive Diesel Oil,275.4
QLD,2025,8,Automotive Diesel Oil,716.5
QLD,2025,9,Automotive Diesel Oil,436.8
QLD,2025,10,Automotive Diesel Oil,409.6
QLD,2025,11,Automotive Diesel Oil,863.7
QLD,2025,12,Automotive Diesel Oil,896.1
WA,2020,1,Automotive Diesel Oil,522.4
WA,2020,2,Automotive Diesel Oil,660.6
WA,2020,3,Automotive Diesel Oil,181.6
WA,2020,4,Automotive Diesel Oil,302.2
WA,2020,5,Automotive Diesel Oil,873.4
WA,2020,6,Automotive Diesel Oil,542.3
WA,2020,7,Automotive Diesel Oil,510.9
WA,2020,8,Automotive Diesel Oil,685.8
WA,2020,9,Automotive Diesel Oil,98.6
WA,2020,10,Automotive Diesel Oil,546.6
WA,2020,11,Automotive Diesel Oil,477.4
WA,2020,12,Automotive Diesel Oil,774.8
WA,2021,1,Automotive Diesel Oil,183.8
WA,2021,2,Automotive Diesel Oil,866.7
WA,2021,3,Automotive Diesel Oil,118.1
WA,2021,4,Automotive Diesel Oil,208.0
WA,2021,5,Automotive Diesel Oil,555.8
WA,2021,6,Automotive Diesel Oil,623.9
WA,2021,7,Automotive Diesel Oil,249.9
WA,2021,8,Automotive Diesel Oil,151.9
WA,2021,9,Automotive Diesel Oil,806.7
WA,2021,10,Automotive Diesel Oil,259.3
WA,2021,11,Automotive Diesel Oil,555.3
WA,2021,12,Automotive Diesel Oil,576.5
WA,2022,1,Automotive Diesel Oil,406.3
WA,2022,2,Automotive Diesel Oil,546.1
WA,2022,3,Automotive Diesel Oil,494.4
WA,2022,4,Automotive Diesel Oil,844.5
WA,2022,5,Automotive Diesel Oil,223.6
WA,2022,6,Automotive Diesel Oil,658.8
WA,2022,7,Automotive Diesel Oil,252.9
WA,2022,8,Automotive Diesel Oil,386.4
WA,2022,9,Automotive Diesel Oil,620.9
WA,2022,10,Automotive Diesel Oil,305.0
WA,2022,11,Automotive Diesel Oil,318.8
WA,2022,12,Automotive Diesel Oil,689.1
WA,2023,1,Automotive Diesel Oil,111.7
WA,2023,2,Automotive Diesel Oil,439.5
WA,2023,3,Automotive Diesel Oil,898.7
WA,2023,4,Automotive Diesel Oil,896.7
WA,2023,5,Automotive Diesel Oil,112.3
WA,2023,6,Automotive Diesel Oil,231.2
WA,2023,7,Automotive Diesel Oil,275.4
WA,2023,8,Automotive Diesel Oil,843.3
WA,2023,9,Automotive Diesel Oil,798.7
WA,2023,10,Automotive Diesel Oil,797.4
WA,2023,11,Automotive Diesel Oil,364.1
WA,2023,12,Automotive Diesel Oil,184.1
WA,2024,1,Automotive Diesel Oil,758.7
WA,2024,2,Automotive Diesel Oil,648.0
WA,2024,3,Automotive Diesel Oil,569.9
WA,2024,4,Automotive Diesel Oil,889.1
WA,2024,5,Automotive Diesel Oil,605.9
WA,2024,6,Automotive Diesel Oil,56.6
WA,2024,7,Automotive Diesel Oil,744.5
WA,2024,8,Automotive Diesel Oil,304.5
WA,2024,9,Automotive Diesel Oil,613.9
WA,2024,10,Automotive Diesel Oil,848.1
WA,2024,11,Automotive Diesel Oil,164.1
WA,2024,12,Automotive Diesel Oil,148.1
WA,2025,1,Automotive Diesel Oil,141.0
WA,2025,2,Automotive Diesel Oil,520.2
WA,2025,3,Automotive Diesel Oil,281.5
WA,2025,4,Automotive Diesel Oil,564.1
WA,2025,5,Automotive Diesel Oil,660.0
WA,2025,6,Automotive Diesel Oil,223.1
WA,2025,7,Automotive Diesel Oil,589.1
WA,2025,8,Automotive Diesel Oil,274.4
WA,2025,9,Automotive Diesel Oil,465.3
WA,2025,10,Automotive Diesel Oil,819.5
WA,2025,11,Automotive Diesel Oil,769.2
WA,2025,12,Automotive Diesel Oil,128.5
SA,2020,1,Automotive Diesel Oil,410.0
SA,2020,2,Automotive Diesel Oil,285.2
SA,2020,3,Automotive Diesel Oil,53.0
SA,2020,4,Automotive Diesel Oil,705.5
SA,2020,5,Automotive Diesel Oil,591.5
SA,2020,6,Automotive Diesel Oil,272.7
SA,2020,7,Automotive Diesel Oil,680.0
SA,2020,8,Automotive Diesel Oil,518.9
SA,2020,9,Automotive Diesel Oil,413.5
SA,2020,10,Automotive Diesel Oil,58.2
SA,2020,11,Automotive Diesel Oil,114.0
SA,2020,12,Automotive Diesel Oil,800.6
SA,2021,1,Automotive Diesel Oil,818.3
SA,2021,2,Automotive Diesel Oil,513.8
SA,2021,3,Automotive Diesel Oil,759.4
SA,2021,4,Automotive Diesel Oil,545.1
SA,2021,5,Automotive Diesel Oil,175.9
SA,2021,6,Automotive Diesel Oil,158.3
SA,2021,7,Automotive Diesel Oil,312.0
SA,2021,8,Automotive Diesel Oil,814.1
SA,2021,9,Automotive Diesel Oil,726.7
SA,2021,10,Automotive Diesel Oil,781.6
SA,2021,11,Automotive Diesel Oil,814.1
SA,2021,12,Automotive Diesel Oil,228.6
SA,2022,1,Automotive Diesel Oil,262.1
SA,2022,2,Automotive Diesel Oil,137.4
SA,2022,3,Automotive Diesel Oil,713.1
SA,2022,4,Automotive Diesel Oil,801.5
SA,2022,5,Automotive Diesel Oil,395.4
SA,2022,6,Automotive Diesel Oil,577.6
SA,2022,7,Automotive Diesel Oil,181.4
SA,2022,8,Automotive Diesel Oil,840.4
SA,2022,9,Automotive Diesel Oil,784.9
SA,2022,10,Automotive Diesel Oil,879.8
SA,2022,11,Automotive Diesel Oil,739.2
SA,2022,12,Automotive Diesel Oil,799.2
SA,2023,1,Automotive Diesel Oil,71.1
SA,2023,2,Automotive Diesel Oil,676.1
SA,2023,3,Automotive Diesel Oil,332.4
SA,2023,4,Automotive Diesel Oil,841.2
SA,2023,5,Automotive Diesel Oil,731.9
SA,2023,6,Automotive Diesel Oil,784.5
SA,2023,7,Automotive Diesel Oil,739.1
SA,2023,8,Automotive Diesel Oil,276.8
SA,2023,9,Automotive Diesel Oil,719.3
SA,2023,10,Automotive Diesel Oil,141.9
SA,2023,11,Automotive Diesel Oil,791.3
SA,2023,12,Automotive Diesel Oil,779.8
SA,2024,1,Automotive Diesel Oil,239.1
SA,2024,2,Automotive Diesel Oil,744.1
SA,2024,3,Automotive Diesel Oil,441.3
SA,2024,4,Automotive Diesel Oil,309.4
SA,2024,5,Automotive Diesel Oil,726.0
SA,2024,6,Automotive Diesel Oil,243.5
SA,2024,7,Automotive Diesel Oil,70.1
SA,2024,8,Automotive Diesel Oil,214.2
SA,2024,9,Automotive Diesel Oil,329.0
SA,2024,10,Automotive Diesel Oil,784.7
SA,2024,11,Automotive Diesel Oil,871.9
SA,2024,12,Automotive Diesel Oil,287.3
SA,2025,1,Automotive Diesel Oil,595.3
SA,2025,2,Automotive Diesel Oil,389.7
SA,2025,3,Automotive Diesel Oil,884.0
SA,2025,4,Automotive Diesel Oil,505.8
SA,2025,5,Automotive Diesel Oil,848.4
SA,2025,6,Automotive Diesel Oil,148.0
SA,2025,7,Automotive Diesel Oil,874.8
SA,2025,8,Automotive Diesel Oil,201.8
SA,2025,9,Automotive Diesel Oil,868.2
SA,2025,10,Automotive Diesel Oil,275.6
SA,2025,11,Automotive Diesel Oil,142.1
SA,2025,12,Automotive Diesel Oil,419.4
TAS,2020,1,Automotive Diesel Oil,669.3
TAS,2020,2,Automotive Diesel Oil,316.6
TAS,2020,3,Automotive Diesel Oil,565.3
TAS,2020,4,Automotive Diesel Oil,484.7
TAS,2020,5,Automotive Diesel Oil,377.4
TAS,2020,6,Automotive Diesel Oil,540.1
TAS,2020,7,Automotive Diesel Oil,266.5
TAS,2020,8,Automotive Diesel Oil,652.5
TAS,2020,9,Automotive Diesel Oil,51.4
TAS,2020,10,Automotive Diesel Oil,836.7
TAS,2020,11,Automotive Diesel Oil,507.7
TAS,2020,12,Automotive Diesel Oil,661.5
TAS,2021,1,Automotive Diesel Oil,680.7
TAS,2021,2,Automotive Diesel Oil,620.0
TAS,2021,3,Automotive Diesel Oil,359.6
TAS,2021,4,Automotive Diesel Oil,109.5
TAS,2021,5,Automotive Diesel Oil,614.6
TAS,2021,6,Automotive Diesel Oil,330.7
TAS,2021,7,Automotive Diesel Oil,316.8
TAS,2021,8,Automotive Diesel Oil,770.8
TAS,2021,9,Automotive Diesel Oil,661.8
TAS,2021,10,Automotive Diesel Oil,305.3
TAS,2021,11,Automotive Diesel Oil,312.9
TAS,2021,12,Automotive Diesel Oil,397.1
TAS,2022,1,Automotive Diesel Oil,392.0
TAS,2022,2,Automotive Diesel Oil,301.3
TAS,2022,3,Automotive Diesel Oil,158.2
TAS,2022,4,Automotive Diesel Oil,407.4
TAS,2022,5,Automotive Diesel Oil,849.3
TAS,2022,6,Automotive Diesel Oil,625.7
TAS,2022,7,Automotive Diesel Oil,817.4
TAS,2022,8,Automotive Diesel Oil,573.2
TAS,2022,9,Automotive Diesel Oil,305.8
TAS,2022,10,Automotive Diesel Oil,515.7
TAS,2022,11,Automotive Diesel Oil,50.3
TAS,2022,12,Automotive Diesel Oil,293.9
TAS,2023,1,Automotive Diesel Oil,415.4
TAS,2023,2,Automotive Diesel Oil,543.0
TAS,2023,3,Automotive Diesel Oil,606.5
TAS,2023,4,Automotive Diesel Oil,445.2
TAS,2023,5,Automotive Diesel Oil,425.8
TAS,2023,6,Automotive Diesel Oil,231.6
TAS,2023,7,Automotive Diesel Oil,452.2
TAS,2023,8,Automotive Diesel Oil,816.0
TAS,2023,9,Automotive Diesel Oil,726.6
TAS,2023,10,Automotive Diesel Oil,194.2
TAS,2023,11,Automotive Diesel Oil,122.1
TAS,2023,12,Automotive Diesel Oil,488.1
TAS,2024,1,Automotive Diesel Oil,588.0
TAS,2024,2,Automotive Diesel Oil,334.9
TAS,2024,3,Automotive Diesel Oil,745.7
TAS,2024,4,Automotive Diesel Oil,688.5
TAS,2024,5,Automotive Diesel Oil,621.9
TAS,2024,6,Automotive Diesel Oil,240.9
TAS,2024,7,Automotive Diesel Oil,219.3
TAS,2024,8,Automotive Diesel Oil,70.8
TAS,2024,9,Automotive Diesel Oil,258.1
TAS,2024,10,Automotive Diesel Oil,453.9
TAS,2024,11,Automotive Diesel Oil,772.3
TAS,2024,12,Automotive Diesel Oil,111.9
TAS,2025,1,Automotive Diesel Oil,402.3
TAS,2025,2,Automotive Diesel Oil,585.3
TAS,2025,3,Automotive Diesel Oil,215.3
TAS,2025,4,Automotive Diesel Oil,641.9
TAS,2025,5,Automotive Diesel Oil,470.2
TAS,2025,6,Automotive Diesel Oil,257.4
TAS,2025,7,Automotive Diesel Oil,607.6
TAS,2025,8,Automotive Diesel Oil,54.7
TAS,2025,9,Automotive Diesel Oil,688.3
TAS,2025,10,Automotive Diesel Oil,704.5
TAS,2025,11,Automotive Diesel Oil,140.6
TAS,2025,12,Automotive Diesel Oil,411.4
NT,2020,1,Automotive Diesel Oil,199.5
NT,2020,2,Automotive Diesel Oil,864.3
NT,2020,3,Automotive Diesel Oil,490.3
NT,2020,4,Automotive Diesel Oil,92.7
NT,2020,5,Automotive Diesel Oil,261.8
NT,2020,6,Automotive Diesel Oil,771.1
NT,2020,7,Automotive Diesel Oil,438.0
NT,2020,8,Automotive Diesel Oil,731.2
NT,2020,9,Automotive Diesel Oil,617.4
NT,2020,10,Automotive Diesel Oil,889.7
NT,2020,11,Automotive Diesel Oil,556.1
NT,2020,12,Automotive Diesel Oil,857.5
NT,2021,1,Automotive Diesel Oil,807.7
NT,2021,2,Automotive Diesel Oil,570.8
NT,2021,3,Automotive Diesel Oil,661.4
NT,2021,4,Automotive Diesel Oil,479.1
NT,2021,5,Automotive Diesel Oil,756.0
NT,2021,6,Automotive Diesel Oil,515.7
NT,2021,7,Automotive Diesel Oil,812.6
NT,2021,8,Automotive Diesel Oil,682.1
NT,2021,9,Automotive Diesel Oil,453.5
NT,2021,10,Automotive Diesel Oil,270.3
NT,2021,11,Automotive Diesel Oil,260.2
NT,2021,12,Automotive Diesel Oil,592.0
NT,2022,1,Automotive Diesel Oil,700.9
NT,2022,2,Automotive Diesel Oil,493.1
NT,2022,3,Automotive Diesel Oil,582.7
NT,2022,4,Automotive Diesel Oil,283.4
NT,2022,5,Automotive Diesel Oil,115.9
NT,2022,6,Automotive Diesel Oil,292.9
NT,2022,7,Automotive Diesel Oil,281.0
NT,2022,8,Automotive Diesel Oil,321.8
NT,2022,9,Automotive Diesel Oil,509.1
NT,2022,10,Automotive Diesel Oil,167.6
NT,2022,11,Automotive Diesel Oil,246.6
NT,2022,12,Automotive Diesel Oil,639.9
NT,2023,1,Automotive Diesel Oil,650.5
NT,2023,2,Automotive Diesel Oil,104.6
NT,2023,3,Automotive Diesel Oil,396.5
NT,2023,4,Automotive Diesel Oil,511.2
NT,2023,5,Automotive Diesel Oil,403.4
NT,2023,6,Automotive Diesel Oil,225.8
NT,2023,7,Automotive Diesel Oil,407.1
NT,2023,8,Automotive Diesel Oil,819.1
NT,2023,9,Automotive Diesel Oil,546.5
NT,2023,10,Automotive Diesel Oil,641.2
NT,2023,11,Automotive Diesel Oil,778.2
NT,2023,12,Automotive Diesel Oil,700.8
NT,2024,1,Automotive Diesel Oil,373.3
NT,2024,2,Automotive Diesel Oil,55.0
NT,2024,3,Automotive Diesel Oil,349.0
NT,2024,4,Automotive Diesel Oil,690.5
NT,2024,5,Automotive Diesel Oil,775.4
NT,2024,6,Automotive Diesel Oil,860.4
NT,2024,7,Automotive Diesel Oil,406.2
NT,2024,8,Automotive Diesel Oil,685.4
NT,2024,9,Automotive Diesel Oil,514.2
NT,2024,10,Automotive Diesel Oil,562.8
NT,2024,11,Automotive Diesel Oil,237.5
NT,2024,12,Automotive Diesel Oil,236.5
NT,2025,1,Automotive Diesel Oil,420.5
NT,2025,2,Automotive Diesel Oil,74.7
NT,2025,3,Automotive Diesel Oil,335.7
NT,2025,4,Automotive Diesel Oil,627.3
NT,2025,5,Automotive Diesel Oil,393.7
NT,2025,6,Automotive Diesel Oil,190.3
NT,2025,7,Automotive Diesel Oil,447.3
NT,2025,8,Automotive Diesel Oil,158.5
NT,2025,9,Automotive Diesel Oil,578.9
NT,2025,10,Automotive Diesel Oil,72.9
NT,2025,11,Automotive Diesel Oil,384.9
NT,2025,12,Automotive Diesel Oil,529.7
ACT,2020,1,Automotive Diesel Oil,73.0
ACT,2020,2,Automotive Diesel Oil,596.3
ACT,2020,3,Automotive Diesel Oil,165.3
ACT,2020,4,Automotive Diesel Oil,442.4
ACT,2020,5,Automotive Diesel Oil,92.7
ACT,2020,6,Automotive Diesel Oil,372.2
ACT,2020,7,Automotive Diesel Oil,229.9
ACT,2020,8,Automotive Diesel Oil,327.8
ACT,2020,9,Automotive Diesel Oil,697.0
ACT,2020,10,Automotive Diesel Oil,372.3
ACT,2020,11,Automotive Diesel Oil,689.2
ACT,2020,12,Automotive Diesel Oil,757.1
ACT,2021,1,Automotive Diesel Oil,264.4
ACT,2021,2,Automotive Diesel Oil,119.6
ACT,2021,3,Automotive Diesel Oil,66.5
ACT,2021,4,Automotive Diesel Oil,508.5
ACT,2021,5,Automotive Diesel Oil,899.9
ACT,2021,6,Automotive Diesel Oil,347.5
ACT,2021,7,Automotive Diesel Oil,602.6
ACT,2021,8,Automotive Diesel Oil,714.0
ACT,2021,9,Automotive Diesel Oil,604.0
ACT,2021,10,Automotive Diesel Oil,691.1
ACT,2021,11,Automotive Diesel Oil,857.2
ACT,2021,12,Automotive Diesel Oil,219.5
ACT,2022,1,Automotive Diesel Oil,67.3
ACT,2022,2,Automotive Diesel Oil,179.5
ACT,2022,3,Automotive Diesel Oil,157.3
ACT,2022,4,Automotive Diesel Oil,619.0
ACT,2022,5,Automotive Diesel Oil,529.4
ACT,2022,6,Automotive Diesel Oil,235.3
ACT,2022,7,Automotive Diesel Oil,644.5
ACT,2022,8,Automotive Diesel Oil,701.9
ACT,2022,9,Automotive Diesel Oil,192.6
ACT,2022,10,Automotive Diesel Oil,566.2
ACT,2022,11,Automotive Diesel Oil,685.7
ACT,2022,12,Automotive Diesel Oil,147.4
ACT,2023,1,Automotive Diesel Oil,746.4
ACT,2023,2,Automotive Diesel Oil,870.0
ACT,2023,3,Automotive Diesel Oil,141.9
ACT,2023,4,Automotive Diesel Oil,71.8
ACT,2023,5,Automotive Diesel Oil,315.2
ACT,2023,6,Automotive Diesel Oil,625.7
ACT,2023,7,Automotive Diesel Oil,864.4
ACT,2023,8,Automotive Diesel Oil,387.2
ACT,2023,9,Automotive Diesel Oil,657.8
ACT,2023,10,Automotive Diesel Oil,114.6
ACT,2023,11,Automotive Diesel Oil,637.0
ACT,2023,12,Automotive Diesel Oil,583.2
ACT,2024,1,Automotive Diesel Oil,136.6
ACT,2024,2,Automotive Diesel Oil,706.6
ACT,2024,3,Automotive Diesel Oil,772.7
ACT,2024,4,Automotive Diesel Oil,560.3
ACT,2024,5,Automotive Diesel Oil,152.9
ACT,2024,6,Automotive Diesel Oil,886.3
ACT,2024,7,Automotive Diesel Oil,715.2
ACT,2024,8,Automotive Diesel Oil,345.1
ACT,2024,9,Automotive Diesel Oil,414.1
ACT,2024,10,Automotive Diesel Oil,365.0
ACT,2024,11,Automotive Diesel Oil,480.1
ACT,2024,12,Automotive Diesel Oil,340.0
ACT,2025,1,Automotive Diesel Oil,772.1
ACT,2025,2,Automotive Diesel Oil,749.0
ACT,2025,3,Automotive Diesel Oil,139.7
