state,year,mode,vkt_million_km
QLD,2022,Freight (articulated),6074.5
QLD,2022,Freight (rigid),3817.0
QLD,2022,Buses,5246.9
QLD,2023,Passenger vehicles,7337.0
QLD,2023,Freight (articulated),1533.8
QLD,2023,Freight (rigid),4724.1
QLD,2023,Buses,5114.8
QLD,2024,Passenger vehicles,3984.6
QLD,2024,Freight (articulated),820.8
QLD,2024,Freight (rigid),2848.9
QLD,2024,Buses,2733.1
QLD,2025,Passenger vehicles,5394.1
QLD,2025,Freight (articulated),6876.1
QLD,2025,Freight (rigid),2705.4
QLD,2025,Buses,5580.0
WA,2020,Passenger vehicles,2376.9
WA,2020,Freight (articulated),7567.0
WA,2020,Freight (rigid),6527.2
WA,2020,Buses,4445.8
WA,2021,Passenger vehicles,3693.1
WA,2021,Freight (articulated),2584.7
WA,2021,Freight (rigid),2653.9
WA,2021,Buses,7764.5
WA,2022,Passenger vehicles,3293.0
WA,2022,Freight (articulated),4165.3
WA,2022,Freight (rigid),7906.1
WA,2022,Buses,5295.5
WA,2023,Passenger vehicles,4386.5
WA,2023,Freight (articulated),3364.7
WA,2023,Freight (rigid),1581.9
WA,2023,Buses,2958.1
WA,2024,Passenger vehicles,6075.9
WA,2024,Freight (articulated),5040.7
WA,2024,Freight (rigid),6103.9
WA,2024,Buses,1708.1
WA,2025,Passenger vehicles,4438.8
WA,2025,Freight (articulated),7428.6
WA,2025,Freight (rigid),3561.1
WA,2025,Buses,5616.2
SA,2020,Passenger vehicles,1059.3
SA,2020,Freight (articulated),7787.9
SA,2020,Freight (rigid),4910.1
SA,2020,Buses,1990.4
SA,2021,Passenger vehicles,1351.2
SA,2021,Freight (articulated),4451.6
SA,2021,Freight (rigid),4462.8
SA,2021,Buses,836.4
SA,2022,Passenger vehicles,7938.8
SA,2022,Freight (articulated),7312.1
SA,2022,Freight (rigid),3745.4
SA,2022,Buses,1028.0
SA,2023,Passenger vehicles,6673.9
SA,2023,Freight (articulated),4037.2
SA,2023,Freight (rigid),5761.2
SA,2023,Buses,4120.1
SA,2024,Passenger vehicles,2260.1
SA,2024,Freight (articulated),6694.3
SA,2024,Freight (rigid),7843.9
SA,2024,Buses,2025.5
SA,2025,Passenger vehicles,4455.0
SA,2025,Freight (articulated),3130.3
SA,2025,Freight (rigid),7382.8
SA,2025,Buses,4115.1
TAS,2020,Passenger vehicles,7046.7
TAS,2020,Freight (articulated),6925.8
TAS,2020,Freight (rigid),2282.4
TAS,2020,Buses,6341.0
TAS,2021,Passenger vehicles,3378.0
TAS,2021,Freight (articulated),7480.6
TAS,2021,Freight (rigid),4111.1
TAS,2021,Buses,6582.3
TAS,2022,Passenger vehicles,2334.4
TAS,2022,Freight (articulated),2458.6
TAS,2022,Freight (rigid),4736.8
TAS,2022,Buses,7991.3
TAS,2023,Passenger vehicles,3968.2
TAS,2023,Freight (articulated),1273.9
TAS,2023,Freight (rigid),4354.8
TAS,2023,Buses,2826.5
TAS,2024,Passenger vehicles,4460.1
TAS,2024,Freight (articulated),4393.1
TAS,2024,Freight (rigid),3697.2
TAS,2024,Buses,2642.0
TAS,2025,Passenger vehicles,1590.4
TAS,2025,Freight (articulated),5610.2
TAS,2025,Freight (rigid),4617.2
TAS,2025,Buses,1945.1
NT,2020,Passenger vehicles,6226.8
NT,2020,Freight (articulated),444.8
NT,2020,Freight (rigid),5983.2
NT,2020,Buses,5671.3
NT,2021,Passenger vehicles,6510.1
NT,2021,Freight (articulated),3150.0
NT,2021,Freight (rigid),5343.1
NT,2021,Buses,6583.9
NT,2022,Passenger vehicles,7848.5
NT,2022,Freight (articulated),4013.1
NT,2022,Freight (rigid),392.5
NT,2022,Buses,4068.1
NT,2023,Passenger vehicles,4762.4
NT,2023,Freight (articulated),6970.6
NT,2023,Freight (rigid),7006.1
NT,2023,Buses,3578.4
NT,2024,Passenger vehicles,4255.0
NT,2024,Freight (articulated),3709.7
NT,2024,Freight (rigid),5807.3
NT,2024,Buses,3338.8
NT,2025,Passenger vehicles,5272.8
NT,2025,Freight (articulated),1319.5
NT,2025,Freight (rigid),3809.0
NT,2025,Buses,7756.7
ACT,2020,Passenger vehicles,2774.6
ACT,2020,Freight (articulated),5572.4
ACT,2020,Freight (rigid),5233.7
ACT,2020,Buses,6828.9
ACT,2021,Passenger vehicles,6833.5
ACT,2021,Freight (articulated),6888.8
ACT,2021,Freight (rigid),3102.1
ACT,2021,Buses,2601.6
ACT,2022,Passenger vehicles,5777.9
ACT,2022,Freight (articulated),6099.3
ACT,2022,Freight (rigid),6991.8
ACT,2022,Buses,383.6
ACT,2023,Passenger vehicles,640.5
ACT,2023,Freight (articulated),5086.2
ACT,2023,Freight (rigid),7375.3
ACT,2023,Buses,7979.7
ACT,2024,Passenger vehicles,5999.5
ACT,2024,Freight (articulated),3528.4
ACT,2024,Freight (rigid),877.7
ACT,2024,Buses,5106.6
ACT,2025,Passenger vehicles,6993.4
ACT,2025,Freight (articulated),3605.1
ACT,2025,Freight (rigid),5582.6
ACT,2025,Buses,7237.1
